x_m,y_m,von_mises_Pa,wss_mag_dyn_cm2
-7.3689906883e-05,1.2504840003e-04,1.5378771927e+01,1.8879578908e+01
-7.6306461720e-05,1.2475663035e-04,1.5971853220e+01,1.8940501454e+01
-7.8926531342e-05,1.2445710052e-04,1.6541958960e+01,1.8993233508e+01
-8.1549904967e-05,1.2414968560e-04,1.7101395678e+01,1.8993233508e+01
-8.4176476241e-05,1.2383424407e-04,1.7653507797e+01,1.9037975364e+01
-8.6806070828e-05,1.2351065321e-04,1.8187910157e+01,1.9075199869e+01
-8.9438532543e-05,1.2317878217e-04,1.8709089543e+01,1.9075199869e+01
-9.2073707852e-05,1.2283850980e-04,1.9215814502e+01,1.9105531723e+01
-9.4711441637e-05,1.2248972069e-04,1.9709236714e+01,1.9128826051e+01
-9.7351570174e-05,1.2213230492e-04,2.0195093330e+01,1.9128826051e+01
-9.9993971903e-05,1.2176614664e-04,2.0663751232e+01,1.9145138953e+01
-1.0263844808e-04,1.2139114276e-04,2.1123360429e+01,1.9155250256e+01
-1.0528489906e-04,1.2100718001e-04,2.1567937085e+01,1.9155250256e+01
-1.0793312350e-04,1.2061416663e-04,2.2000681097e+01,1.9159443310e+01
-1.1058300755e-04,1.2021199645e-04,2.2424687722e+01,1.9157597483e+01
-1.1323439196e-04,1.1980057410e-04,2.2834673968e+01,1.9157597483e+01
-1.1588712007e-04,1.1937980310e-04,2.3235084305e+01,1.9149954900e+01
-1.1854105204e-04,1.1894958456e-04,2.3625345081e+01,1.9136907584e+01
-1.2119603471e-04,1.1850983239e-04,2.4005422378e+01,1.9136907584e+01
-1.2385192829e-04,1.1806045070e-04,2.4375617965e+01,1.9118214362e+01
-1.2650858538e-04,1.1760136085e-04,2.4735237348e+01,1.9094004147e+01
-1.2916585869e-04,1.1713247787e-04,2.5083428028e+01,1.9094004147e+01
-1.3182358644e-04,1.1665370320e-04,2.5426413956e+01,1.9065002573e+01
-1.3448166478e-04,1.1616495689e-04,2.5756067268e+01,1.9031457429e+01
-1.3713990577e-04,1.1566616906e-04,2.6077286455e+01,1.9031457429e+01
-1.3979819610e-04,1.1515724795e-04,2.6390112978e+01,1.8992889453e+01
-1.4245637121e-04,1.1463811938e-04,2.6694866406e+01,1.8949057547e+01
-1.4511430387e-04,1.1410869507e-04,2.6991590298e+01,1.8949057547e+01
-1.4777184853e-04,1.1356889872e-04,2.7276664899e+01,1.8900738791e+01
-1.5042883239e-04,1.1301866023e-04,2.7558632602e+01,1.8848415691e+01
-1.5308516558e-04,1.1245790339e-04,2.7834301131e+01,1.8848415691e+01
-1.5574068378e-04,1.1188654963e-04,2.8096821077e+01,1.8791178051e+01
-1.5839521618e-04,1.1130452293e-04,2.8354590732e+01,1.8728697523e+01
-1.6104865975e-04,1.1071174753e-04,2.8605465391e+01,1.8661599747e+01
-1.6370085044e-04,1.1010815518e-04,2.8849386204e+01,1.8661599747e+01
-1.6635165040e-04,1.0949368594e-04,2.9086925401e+01,1.8590143522e+01
-1.6900092215e-04,1.0886825562e-04,2.9318179100e+01,1.8514361332e+01
-1.7164851568e-04,1.0823178777e-04,2.9543051642e+01,1.8514361332e+01
-1.7429429387e-04,1.0758421548e-04,2.9760193023e+01,1.8433846428e+01
-1.7693808826e-04,1.0692548323e-04,2.9975243751e+01,1.8348728263e+01
-1.7957980707e-04,1.0625551481e-04,3.0185389680e+01,1.8348728263e+01
-1.8221928360e-04,1.0557423458e-04,3.0390464840e+01,1.8258813519e+01
-1.8485639266e-04,1.0488156891e-04,3.0592287039e+01,1.8163570753e+01
-1.8749100834e-04,1.0417746501e-04,3.0785418371e+01,1.8163570753e+01
-1.9012296007e-04,1.0346188491e-04,3.0971981033e+01,1.8063215516e+01
-1.9275209904e-04,1.0273475748e-04,3.1152324277e+01,1.7957652282e+01
-1.9537826710e-04,1.0199602425e-04,3.1324488971e+01,1.7957652282e+01
-1.9800128169e-04,1.0124564305e-04,3.1495643716e+01,1.7847555707e+01
-2.0062105330e-04,1.0048353899e-04,3.1661958393e+01,1.7732131100e+01
-2.0323739227e-04,9.9709690281e-05,3.1820893262e+01,1.7732131100e+01
-2.0585014520e-04,9.8924048766e-05,3.1975246102e+01,1.7610434101e+01
-2.0845916898e-04,9.8126563223e-05,3.2120587490e+01,1.7482620000e+01
-2.1106426205e-04,9.7317202243e-05,3.2265362596e+01,1.7482620000e+01
-2.1366533879e-04,9.6495937658e-05,3.2397480415e+01,1.7348193483e+01
-2.1626214247e-04,9.5662769850e-05,3.2524474570e+01,1.7208307238e+01
-2.1885455472e-04,9.4817655947e-05,3.2641575431e+01,1.7062638846e+01
-2.2144236511e-04,9.3960599066e-05,3.2746636118e+01,1.7062638846e+01
-2.2402535498e-04,9.3091614770e-05,3.2838379345e+01,1.6910038472e+01
-2.2660333752e-04,9.2210745418e-05,3.2913926599e+01,1.6750914685e+01
-2.2917604475e-04,9.1317999688e-05,3.2965408494e+01,1.6750914685e+01
-2.3174317364e-04,9.0413417225e-05,3.2987148311e+01,1.6585439691e+01
-2.3430436713e-04,8.9497056252e-05,3.2945463640e+01,1.6415581498e+01
-2.3685885071e-04,8.8569094202e-05,3.2817564312e+01,1.6415581498e+01
-2.3940543388e-04,8.7629348442e-05,3.2599740583e+01,1.6237004859e+01
-2.4194178434e-04,8.6677833399e-05,3.2400900770e+01,1.6031911012e+01
-2.4446658669e-04,8.5714606451e-05,3.2647212641e+01,1.6031911012e+01
-2.4698266821e-04,8.4739998660e-05,3.3460200564e+01,1.5803908916e+01
-2.4949403438e-04,8.3753295685e-05,3.4491449677e+01,1.5567245129e+01
-2.5200331515e-04,8.2753612472e-05,3.5395851513e+01,1.5567245129e+01
-2.5451081307e-04,8.1741101251e-05,3.5995972254e+01,1.5321665451e+01
-2.5701501460e-04,8.0716376324e-05,3.6438448082e+01,1.5065285169e+01
-2.5951505177e-04,7.9679841275e-05,3.6810592796e+01,1.5065285169e+01
-2.6201031224e-04,7.8631982038e-05,3.7178851484e+01,1.4794263426e+01
-2.6450064806e-04,7.7573198415e-05,3.7543743736e+01,1.4504396331e+01
-2.6698594963e-04,7.6503962434e-05,3.7907785152e+01,1.4504396331e+01
-2.6946612875e-04,7.5424829483e-05,3.8279125350e+01,1.4198327179e+01
-2.7194123176e-04,7.4336415461e-05,3.8668820945e+01,1.3875020913e+01
-2.7441141880e-04,7.3239423958e-05,3.9077626351e+01,1.3875020913e+01
-2.7687683660e-04,7.2134705650e-05,3.9533999557e+01,1.3529191628e+01
-2.7933802711e-04,7.1023157153e-05,4.0007968406e+01,1.3160250719e+01
-2.8179527024e-04,6.9906058586e-05,4.0516194834e+01,1.2766002512e+01
-2.8424925587e-04,6.8784780210e-05,4.1071877660e+01,1.2766002512e+01
-2.8670076276e-04,6.7660953549e-05,4.1684684008e+01,1.2345444598e+01
-2.8915082279e-04,6.6536588375e-05,4.2363447725e+01,1.1892170874e+01
-2.9160072396e-04,6.5414134826e-05,4.3116546977e+01,1.1892170874e+01
-2.9405215996e-04,6.4296555060e-05,4.3961093656e+01,1.1413187494e+01
-2.9650709571e-04,6.3187489629e-05,4.4926841291e+01,1.0898469560e+01
-2.9896803025e-04,6.2091712634e-05,4.6032660800e+01,1.0898469560e+01
-3.0143881230e-04,6.1015061685e-05,4.7264616192e+01,1.0347159640e+01
-3.0392289259e-04,5.9965409363e-05,4.8730908371e+01,9.7618953516e+00
-3.0642606076e-04,5.8953544570e-05,5.0505724639e+01,9.7618953516e+00
-3.0895489730e-04,5.7995115805e-05,5.2683952404e+01,9.1072242615e+00
-3.1151786062e-04,5.7114689804e-05,5.4851114035e+01,8.4922886727e+00
-3.1412832008e-04,5.6355889860e-05,6.3253856855e+01,8.4922886727e+00
-3.1677209928e-04,5.5873447615e-05,6.5891825483e+01,9.8514544838e+00
-3.1995572126e-04,5.5733748158e-05,5.3680860163e+01,1.3628608907e+01
-3.2526052102e-04,5.4771172230e-05,6.3118765365e+01,1.6591275760e+01
-3.3075628573e-04,5.2625246887e-05,7.3513812011e+01,1.5899667999e+01
-3.3616482506e-04,4.9981665476e-05,7.6175156571e+01,1.5004069308e+01
-3.4153456262e-04,4.6989622291e-05,8.1563896296e+01,1.3392745141e+01
-3.4689299277e-04,4.3701066868e-05,8.7744459416e+01,1.2625642761e+01
-3.5226080908e-04,4.0136882507e-05,9.5360161334e+01,1.1150287455e+01
-3.5765585983e-04,3.6301457215e-05,1.0484132025e+02,9.7227304095e+00
-3.6309820910e-04,3.2185388859e-05,1.1667184509e+02,9.0165838343e+00
-3.6860194824e-04,2.7771264253e-05,1.3206663808e+02,7.6026107597e+00
-3.7419163533e-04,2.3027411671e-05,1.5329495207e+02,6.1611234428e+00
-3.7990252595e-04,1.7911250494e-05,1.8358206928e+02,4.6869229715e+00
-3.8579656785e-04,1.2379565677e-05,2.2853100341e+02,3.1843501511e+00
-3.9210000056e-04,6.4056500895e-06,3.5409605506e+02,1.7689848253e+00
-3.9600000000e-04,3.0463089129e-20,1.7469950871e+02,4.9236332045e-01
-3.9200000000e-04,3.0310008279e-20,1.4732226708e+02,nan
-3.8800000000e-04,3.0156927429e-20,1.1868086855e+02,nan
-3.8400000000e-04,3.0003846579e-20,1.0576363527e+02,nan
-3.8000000000e-04,2.9850765729e-20,1.0025237427e+02,nan
-3.7600000000e-04,2.9697684879e-20,1.0170485913e+02,nan
-3.7200000000e-04,2.9544604029e-20,1.1764380139e+02,nan
-3.6800000000e-04,2.9391523180e-20,1.3297432122e+02,nan
-3.6400000000e-04,2.9238442330e-20,1.4692864238e+02,nan
-3.6000000000e-04,2.9085361480e-20,1.6710208823e+02,nan
-3.5600000000e-04,2.8932280630e-20,1.9170070049e+02,nan
-3.5200000000e-04,2.8779199780e-20,2.1697984462e+02,nan
-3.4800000000e-04,2.8626118930e-20,2.4150439213e+02,nan
-3.4400000000e-04,2.8473038080e-20,2.6569013737e+02,nan
-3.4000000000e-04,2.8319957230e-20,2.8780954603e+02,nan
-3.3600000000e-04,2.8166876380e-20,3.0288844767e+02,nan
-3.3200000000e-04,2.8013795530e-20,3.0715193066e+02,nan
-3.2000000000e-04,2.7554552981e-20,3.1737186242e+02,nan
-3.1600000000e-04,2.7401472131e-20,3.2238205190e+02,nan
-2.8400000000e-04,2.6176825332e-20,3.0662863305e+02,nan
-2.8000000000e-04,2.6023744482e-20,2.9648696407e+02,nan
-2.6400000000e-04,2.5411421082e-20,2.7715767135e+02,nan
-2.6000000000e-04,2.5258340232e-20,2.7400829331e+02,nan
-2.5600000000e-04,2.5105259383e-20,2.7119363440e+02,nan
-2.4000000000e-04,2.4492935983e-20,2.6205868453e+02,nan
-2.3600000000e-04,2.4339855133e-20,2.6013580512e+02,nan
-2.3200000000e-04,2.4186774283e-20,2.5831858298e+02,nan
-2.2800000000e-04,2.4033693433e-20,2.5659559110e+02,nan
-2.1200000000e-04,2.3421370034e-20,2.5049370701e+02,nan
-2.0800000000e-04,2.3268289184e-20,2.4913931555e+02,nan
-2.0400000000e-04,2.3115208334e-20,2.4784569545e+02,nan
-2.0000000000e-04,2.2962127484e-20,2.4660995030e+02,nan
-1.8800000000e-04,2.2502884934e-20,2.4322574065e+02,nan
-1.8400000000e-04,2.2349804084e-20,2.4219844296e+02,nan
-1.8000000000e-04,2.2196723235e-20,2.4121841313e+02,nan
-1.7600000000e-04,2.2043642385e-20,2.4028412621e+02,nan
-1.6000000000e-04,2.1431318985e-20,2.3697487054e+02,nan
-1.5600000000e-04,2.1278238135e-20,2.3624784424e+02,nan
-1.5200000000e-04,2.1125157285e-20,2.3555848021e+02,nan
-1.4800000000e-04,2.0972076435e-20,2.3490547847e+02,nan
-1.3200000000e-04,2.0359753036e-20,2.3263605947e+02,nan
