x_m,y_m,von_mises_Pa,wss_mag_dyn_cm2
-2.2326123412e-06,1.2702601315e-04,8.9311927347e+00,1.4944543694e+01
-4.6847169794e-06,1.2672295336e-04,8.0586734917e+00,1.5334471482e+01
-1.9605482654e-05,1.2526804587e-04,3.9523092946e+00,nan
-4.2793211684e-05,1.2396457838e-04,7.4662588139e+00,nan
-4.3795173232e-05,1.2178658136e-04,9.6914652003e+00,nan
-6.1999937821e-05,1.2136585790e-04,1.3581618945e+01,nan
-6.4567269202e-05,1.2153923570e-04,1.3954528436e+01,1.8497472152e+01
-6.5987342727e-05,1.1938296111e-04,1.5788067530e+01,nan
-1.9603956667e-04,9.6694363878e-05,3.6048959647e+01,nan
1.3283332677e-04,1.2177710781e-04,6.8158354479e+00,nan
1.1308355331e-04,9.4645448349e-05,1.7849334187e+01,nan
6.5842659193e-05,4.0882521831e-05,8.9756793120e+01,nan
-8.4642833841e-05,1.1960153477e-04,1.8674305046e+01,1.8879635709e+01
-8.1943168029e-05,1.1957491953e-04,1.8281882477e+01,nan
-1.2832620551e-04,1.1311731014e-04,2.6876684739e+01,1.9034976242e+01
1.5646667018e-04,6.7969684543e-05,2.4633092141e+01,nan
3.8226175212e-07,6.8194824871e-05,7.2933517273e+01,nan
-2.1197556144e-05,6.7074465108e-05,7.8865216601e+01,nan
-4.4793731010e-05,6.8311220928e-05,7.8043269544e+01,nan
2.6885076568e-04,4.2004040976e-05,1.3788556499e+01,nan
-1.1200377601e-04,6.6809510378e-05,7.9081059118e+01,nan
-1.7515205209e-04,1.0246024572e-04,3.3599049008e+01,nan
-2.1883693826e-04,8.9589135325e-05,3.8431329801e+01,nan
-2.1436581119e-04,9.1047096872e-05,3.7995545538e+01,nan
-2.0973121355e-04,9.2627141822e-05,3.7417256564e+01,nan
-2.0755169589e-04,9.4404747920e-05,3.6057555243e+01,1.7504886062e+01
3.5819923318e-04,3.9132454159e-05,2.4939602258e+01,nan
2.2003494009e-05,1.3730493598e-05,1.8777502038e+02,nan
6.6992916636e-05,1.4149037042e-05,1.8702717023e+02,nan
-8.8915038445e-05,1.3347927971e-05,1.9415936363e+02,nan
-1.3480429712e-04,1.3386309618e-05,1.9643827758e+02,nan
1.7339461424e-07,1.2072408635e-04,1.1860259954e+01,nan
-2.1705663734e-05,1.2078335546e-04,8.9383286031e+00,nan
4.4538058271e-05,1.2211518904e-04,1.2989203147e+01,nan
-8.9189862455e-05,9.5087433461e-05,4.1226492557e+01,nan
1.1147770259e-04,1.4609691488e-05,1.7170188548e+02,nan
3.1246837319e-04,4.1370652224e-05,1.8108661536e+01,nan
2.2484717735e-04,1.2175660568e-04,1.2235956152e+01,nan
-1.5765102067e-04,1.3429123043e-05,1.9880670236e+02,nan
-1.7867932527e-04,3.9695716310e-05,1.3059037112e+02,nan
-2.9124535781e-04,1.4349792384e-05,1.9784722235e+02,nan
-3.3666994577e-04,1.3369610205e-05,1.2989022701e+02,nan
2.4644833823e-04,1.3074511146e-05,4.8713989820e+01,nan
9.0206601307e-05,6.6655606312e-05,3.9055223658e+01,nan
2.0066878013e-04,6.8701501457e-05,1.3907971560e+01,nan
2.2311794931e-04,1.4096128105e-05,5.8745696716e+01,nan
2.4648515969e-04,6.5689742038e-05,1.1880535321e+01,nan
1.3461644976e-04,6.5888493809e-05,2.9363103193e+01,nan
2.0334788086e-04,1.2724321562e-05,7.5429203256e+01,nan
9.0568888588e-05,9.5486365782e-05,1.9949127669e+01,nan
-4.6216541059e-05,4.0340582789e-05,1.2909036047e+02,nan
-9.6551271175e-05,1.1778400837e-04,2.1406197083e+01,1.9004753218e+01
2.0956222994e-05,4.0169253949e-05,1.1685711049e+02,nan
-6.6648034741e-05,6.8151991130e-05,7.8033350519e+01,nan
