x_m,y_m,von_mises_Pa,wss_mag_dyn_cm2
2.2590530794e-04,1.5631065305e-04,1.5453875877e+01,2.9359387272e+01
2.2146222294e-04,1.5731450943e-04,1.5939830479e+01,2.8779723996e+01
2.1698106745e-04,1.5822097858e-04,1.6588735903e+01,2.7832555396e+01
2.1245276279e-04,1.5901198926e-04,1.7578057715e+01,2.6829375151e+01
2.0787421370e-04,1.5962379643e-04,1.7862825837e+01,2.5939062352e+01
2.0340255620e-04,1.6002271734e-04,1.7678966481e+01,2.5220862422e+01
1.9907383718e-04,1.6028654025e-04,1.7068636995e+01,2.4670180203e+01
1.9489586976e-04,1.6046220446e-04,1.6050444527e+01,2.4275542064e+01
1.9083871790e-04,1.6059547493e-04,1.5056793070e+01,2.4021126709e+01
1.8688730843e-04,1.6070865339e-04,1.3762111893e+01,2.3868161794e+01
1.8301744567e-04,1.6082014835e-04,1.2568158969e+01,2.3789363573e+01
1.7920836563e-04,1.6094011072e-04,1.1346101895e+01,2.3777614426e+01
1.7543722084e-04,1.6107106909e-04,1.0427052610e+01,2.3843353334e+01
1.7169489725e-04,1.6121160614e-04,9.7455093361e+00,2.3992944114e+01
1.6796860300e-04,1.6135973359e-04,9.3491987117e+00,2.4199028555e+01
1.6424998318e-04,1.6151002695e-04,9.0970336145e+00,2.4424992623e+01
1.6053353227e-04,1.6165732785e-04,8.9680223295e+00,2.4645566926e+01
1.5681663524e-04,1.6179691790e-04,8.9527656492e+00,2.4854165486e+01
1.5309773395e-04,1.6192534789e-04,9.0592057487e+00,2.5060671869e+01
1.4937476342e-04,1.6204180991e-04,9.2613089813e+00,2.5262412578e+01
1.4564322738e-04,1.6214283843e-04,9.6696545462e+00,2.5452409843e+01
1.4190422723e-04,1.6222640894e-04,1.0108453322e+01,2.5634847055e+01
1.3815817884e-04,1.6229053704e-04,1.0573611694e+01,2.5816059757e+01
1.3440700364e-04,1.6233395707e-04,1.1001391288e+01,2.6006188834e+01
1.3065064559e-04,1.6235546907e-04,1.1407233099e+01,2.6203140144e+01
1.2688852695e-04,1.6235308058e-04,1.1794562058e+01,2.6203140144e+01
1.2311995320e-04,1.6232408352e-04,1.2171620526e+01,2.6399946349e+01
1.1934470068e-04,1.6226547275e-04,1.2525017857e+01,2.6590126726e+01
1.1556324166e-04,1.6217457960e-04,1.2892052524e+01,2.6773032922e+01
1.1177559183e-04,1.6204894569e-04,1.3267000648e+01,2.6953951752e+01
1.0798194157e-04,1.6188601416e-04,1.3662022786e+01,2.7126313017e+01
1.0418245269e-04,1.6168306956e-04,1.4076905956e+01,2.7288332378e+01
1.0037748358e-04,1.6143720865e-04,1.4510370988e+01,2.7455030417e+01
9.6567505662e-05,1.6114531186e-04,1.4966386108e+01,2.7615053743e+01
9.2753077483e-05,1.6080394077e-04,1.5446168313e+01,2.7759236361e+01
8.8934922889e-05,1.6040923035e-04,1.5954445295e+01,2.7894876784e+01
8.5114075963e-05,1.5995678937e-04,1.6483983703e+01,2.8006183974e+01
8.1292358995e-05,1.5944132807e-04,1.7032989044e+01,2.8096173868e+01
7.7473445551e-05,1.5885844998e-04,1.7610990430e+01,2.8176532899e+01
7.3659354172e-05,1.5820357777e-04,1.8250566799e+01,2.8242766235e+01
6.9852078085e-05,1.5747023308e-04,1.8935595240e+01,2.8293404995e+01
6.6054758832e-05,1.5664993672e-04,1.9680209722e+01,2.8316255083e+01
6.2272000534e-05,1.5573228013e-04,2.0475346337e+01,2.8300683603e+01
5.8510348926e-05,1.5470411781e-04,2.1336142986e+01,2.8234328022e+01
5.4779554979e-05,1.5354827483e-04,2.2243465133e+01,2.8103695038e+01
5.1094000142e-05,1.5224130622e-04,2.3369274100e+01,2.7805962145e+01
4.7481406389e-05,1.5075090751e-04,2.4379448030e+01,2.7369715352e+01
4.3982533373e-05,1.4903275386e-04,2.5566916929e+01,2.6698990447e+01
4.0669089680e-05,1.4699082582e-04,2.9716199629e+01,2.5580199601e+01
3.7926600460e-05,1.4442598663e-04,2.1469048283e+01,2.2982551829e+01
3.6598390108e-05,1.4207879316e-04,8.2927055011e+01,nan
3.5298407818e-05,1.4081278044e-04,8.5080981674e+01,nan
3.3557298518e-05,1.3990187016e-04,6.8851040566e+01,nan
3.1657834428e-05,1.3911150900e-04,5.8800906861e+01,8.4799918264e+00
2.9673589729e-05,1.3840601426e-04,5.3241198825e+01,4.8265996194e+00
2.7631009610e-05,1.3777106026e-04,4.8461217759e+01,4.8265996194e+00
2.5542884433e-05,1.3719431545e-04,4.4658565909e+01,4.8265996194e+00
2.3417094102e-05,1.3666580768e-04,4.1284755387e+01,6.8916397161e+00
2.1259486164e-05,1.3617789359e-04,3.8303012588e+01,8.3717012115e+00
1.9074099577e-05,1.3572476122e-04,3.5573928194e+01,8.3717012115e+00
1.6863808739e-05,1.3530160830e-04,3.3024259534e+01,9.5588985611e+00
1.4630785238e-05,1.3490442671e-04,3.0601718574e+01,9.5588985611e+00
1.2376671575e-05,1.3452981104e-04,2.8307915953e+01,1.0512509801e+01
1.0102519379e-05,1.3417484580e-04,2.6118618387e+01,1.0512509801e+01
7.8093708107e-06,1.3383697805e-04,2.3949457923e+01,1.1328209347e+01
5.4978409270e-06,1.3351359363e-04,2.1834280164e+01,1.1328209347e+01
3.1682437764e-06,1.3320249190e-04,1.9718883378e+01,1.2036674439e+01
8.2067362687e-07,1.3290149585e-04,1.7609034854e+01,1.2666914996e+01
-1.5454099220e-06,1.3260766664e-04,1.5558240542e+01,1.2666914996e+01
-3.9287489162e-06,1.3231752131e-04,1.4127297681e+01,1.3221018088e+01
-6.3217762168e-06,1.3203305116e-04,1.4666779334e+01,1.3221018088e+01
-8.7085558268e-06,1.3176698284e-04,1.5488375662e+01,1.3657611328e+01
-1.1094385880e-05,1.3151884509e-04,1.4985342272e+01,1.4018889114e+01
