x_m y_m von_mises_Pa wss_mag_dyn_cm2
-2.4010282117e-04 8.7482522147e-05 3.3259451369e+01 1.6324996270e+01
-2.4264436373e-04 8.6523913089e-05 3.3139634233e+01 1.6140275772e+01
-2.4517669101e-04 8.5553176637e-05 3.3129594851e+01 1.5935599843e+01
-2.4769901719e-04 8.4570377257e-05 3.3526698590e+01 1.5935599843e+01
-2.5021393790e-04 8.3575625245e-05 3.4280469962e+01 1.5709840451e+01
-2.5272426160e-04 8.2568314713e-05 3.5187800713e+01 1.5471024110e+01
-2.5523186067e-04 8.1547879845e-05 3.6022903865e+01 1.5471024110e+01
-2.5773711081e-04 8.0514348974e-05 3.6671013698e+01 1.5222529360e+01
-2.6023924866e-04 7.9468166046e-05 3.7132210318e+01 1.4961873151e+01
-2.6273722331e-04 7.8409925525e-05 3.7543052165e+01 1.4961873151e+01
-2.6523069352e-04 7.7340039321e-05 3.7946531673e+01 1.4685980244e+01
-2.6771948082e-04 7.6258898339e-05 3.8347238479e+01 1.4395765339e+01
-2.7020347501e-04 7.5167005009e-05 3.8749738054e+01 1.4395765339e+01
-2.7268269570e-04 7.4064923876e-05 3.9166960685e+01 1.4087498018e+01
-2.7515727801e-04 7.2953270933e-05 3.9601013303e+01 1.3759352980e+01
-2.7762734847e-04 7.1832787757e-05 4.0080286831e+01 1.3411041473e+01
-2.8009341462e-04 7.0704254560e-05 4.0575645429e+01 1.3411041473e+01
-2.8255574956e-04 6.9568814616e-05 4.1102547689e+01 1.3040192398e+01
-2.8501500177e-04 6.8427655475e-05 4.1673957546e+01 1.2646428910e+01
-2.8747191012e-04 6.7282209847e-05 4.2298859546e+01 1.2646428910e+01
-2.8992745862e-04 6.6134244919e-05 4.2986804453e+01 1.2227465399e+01
-2.9238288089e-04 6.4985902794e-05 4.3744711926e+01 1.1782032017e+01
-2.9483978710e-04 6.3839758269e-05 4.4589569402e+01 1.1782032017e+01
-2.9730005280e-04 6.2698960389e-05 4.5548581792e+01 1.1308024349e+01
-2.9976606128e-04 6.1567612551e-05 4.6638343829e+01 1.0804683688e+01
-3.0224138923e-04 6.0450692006e-05 4.7850730379e+01 1.0804683688e+01
-3.0472931103e-04 5.9354865420e-05 4.9277939450e+01 1.0275217307e+01
-3.0723514476e-04 5.8289176762e-05 5.0956280029e+01 9.7120307055e+00
-3.0976496154e-04 5.7266587475e-05 5.2921362377e+01 9.7120307055e+00
-3.1232692472e-04 5.6307262103e-05 5.5486331971e+01 9.1484015573e+00
-3.1759869077e-04 5.4790256809e-05 6.4987692797e+01 9.0793217600e+00
-3.2062736490e-04 5.4347213238e-05 6.2760534663e+01 1.0583951303e+01
-3.2466123796e-04 5.3772411197e-05 6.1061437161e+01 1.3579345326e+01
-3.3014328907e-04 5.2138511890e-05 6.9803668822e+01 1.6156676382e+01
-3.3564626617e-04 4.9657384667e-05 7.8037623114e+01 1.5361443623e+01
-3.4108621817e-04 4.6750419746e-05 8.2506348657e+01 1.3605999655e+01
-3.4650269202e-04 4.3516366093e-05 8.8846681274e+01 1.2818239221e+01
-3.5192083077e-04 3.9990334276e-05 9.6459319230e+01 1.1299658832e+01
-3.5736112789e-04 3.6183776946e-05 1.0596233528e+02 9.8482096277e+00
-3.6284577785e-04 3.2091278830e-05 1.1784977291e+02 9.1358490594e+00
-3.6839058532e-04 2.7697770340e-05 1.3335567222e+02 7.7049058410e+00
-3.7402183280e-04 2.2973070752e-05 1.5480156418e+02 6.2552403661e+00
-3.7977624387e-04 1.7875170813e-05 1.8546998811e+02 4.7734504873e+00
-3.8571588902e-04 1.2360066255e-05 2.3104857190e+02 3.2598498213e+00
-3.9206393048e-04 6.3987554034e-06 3.5821295557e+02 1.8237040573e+00
-3.9600000000e-04 3.0463089129e-20 1.7674055157e+02 5.1280053758e-01
-2.2504506353e-05 1.2769133041e-04 2.5250265637e+00 1.6497819998e+01
4.1264891123e-05 1.3512877741e-04 3.4815172224e+01 7.5482351203e+00
-9.1576770847e-05 1.2108860766e-04 1.8390008514e+01 1.8894971059e+01
-1.3614060308e-04 1.1386767471e-04 2.6358325576e+01 1.8970300852e+01
1.4919504516e-04 1.6210886419e-04 1.5731496077e+01 2.5202884210e+01
2.1912695252e-04 1.5675002183e-04 1.5085420367e+01 2.8202072195e+01
2.5656487588e-04 2.5270647881e-06 6.3793686578e+01 nan
-2.3835429792e-04 8.5941542383e-05 3.6013874849e+01 1.6324996270e+01
2.7792357013e-04 1.3514785827e-04 1.3533186821e+01 2.3410606552e+01
3.4543578663e-04 8.5223853022e-05 1.6850590685e+01 1.2678417560e+01
3.4498850259e-04 3.6585814954e-06 2.1453421649e+01 nan
-1.6808007213e-04 1.0723610495e-04 3.0209432559e+01 1.8520045137e+01
-3.5824951414e-04 3.1281495634e-06 1.4091958546e+02 nan
3.7095639401e-04 5.2710496465e-05 2.2955417503e+01 5.9319142022e+00
2.6861174886e-04 2.7606017381e-06 4.9147403608e+01 nan
2.4457718914e-04 2.3261392343e-06 8.0674446454e+01 nan
-3.7023466946e-04 3.6318265463e-06 1.0659174247e+02 nan
3.7258825235e-04 4.1548040009e-06 2.4724069446e+01 nan
2.6194487467e-04 1.4228005681e-04 1.3687063677e+01 2.4769643054e+01
2.8939170078e-04 1.2886394537e-04 1.3578885423e+01 2.1924123324e+01
3.1525808033e-04 1.1266232156e-04 1.4203201401e+01 1.8877557765e+01
