x_m y_m wss_mag_dyn_cm2 wss_x_dyn_cm2 wss_y_dyn_cm2 pressure_Pa normal_x normal_y
-2.4064786963e-05 1.3028139278e-04 1.5782586037e+01 1.5716427211e+01 1.4435850293e+00 2.0187589017e+01 -9.1466951354e-02 9.9580811244e-01
-1.6111241104e-05 1.3102652765e-04 1.5046419896e+01 1.4977517923e+01 1.4383005755e+00 2.0139380718e+01 -9.5590883776e-02 9.9542070650e-01
-1.2136142059e-05 1.3141648512e-04 1.4614646239e+01 1.4541871092e+01 1.4566639469e+00 2.0125048647e+01 -9.9671516026e-02 9.9502039622e-01
-4.1956696621e-06 1.3228800711e-04 1.3846128739e+01 1.3747542887e+01 1.6493470266e+00 2.0122347837e+01 -1.1911972348e-01 9.9287989781e-01
3.7306609104e-06 1.3328105433e-04 1.2941672426e+01 1.2830114567e+01 1.6955958728e+00 2.0115841120e+01 -1.3101829632e-01 9.9137995039e-01
7.6874560981e-06 1.3382577038e-04 1.2348012306e+01 1.2223350841e+01 1.7501720265e+00 2.0128389283e+01 -1.4173714628e-01 9.8990432940e-01
1.5576126272e-05 1.3507990962e-04 1.0936755239e+01 1.0769209610e+01 1.9070237377e+00 2.0196860619e+01 -1.7436832918e-01 9.8468049934e-01
2.3400258276e-05 1.3668170074e-04 9.0879621710e+00 8.8426332701e+00 2.0973538741e+00 2.0349855846e+01 -2.3078373728e-01 9.7300507019e-01
2.7262765532e-05 1.3769313911e-04 7.8213152913e+00 7.5181460217e+00 2.1564909649e+00 2.0497167005e+01 -2.7571973314e-01 9.6123807080e-01
3.4606921843e-05 1.4066878599e-04 4.7516209571e+00 4.0413663181e+00 2.4990518208e+00 2.1226143553e+01 -5.2593669473e-01 8.5052371697e-01
3.9988136915e-05 1.4631846076e-04 1.9162893056e+01 1.4808764783e+01 1.2162111490e+01 2.1759079969e+01 -6.3466990366e-01 7.7278335476e-01
4.3258205103e-05 1.4857307629e-04 2.4190310200e+01 2.0993255968e+01 1.2018914735e+01 2.1205783657e+01 -4.9684830975e-01 8.6783740245e-01
5.0473262630e-05 1.5197262059e-04 2.7104340236e+01 2.5233388936e+01 9.8955213333e+00 2.0583326456e+01 -3.6508991722e-01 9.3097226185e-01
5.8031298303e-05 1.5454560247e-04 2.8026583802e+01 2.6877644414e+01 7.9423944979e+00 2.0145157401e+01 -2.8338789180e-01 9.5900537161e-01
6.1878903027e-05 1.5561514227e-04 2.8192062032e+01 2.7280878653e+01 7.1095725288e+00 1.9965715650e+01 -2.5218348770e-01 9.6767943480e-01
6.9659301484e-05 1.5741899267e-04 2.8283573003e+01 2.7706428496e+01 5.6845687486e+00 1.9657554648e+01 -2.0098481716e-01 9.7959435649e-01
7.7516378335e-05 1.5885572110e-04 2.8188159674e+01 2.7826419715e+01 4.5014121814e+00 1.9388821515e+01 -1.5969159510e-01 9.8716695369e-01
8.1464827660e-05 1.5945696281e-04 2.8104820496e+01 2.7822556088e+01 3.9731986891e+00 1.9269295654e+01 -1.4137071929e-01 9.8995672619e-01
8.9390399510e-05 1.6045157362e-04 2.7840983406e+01 2.7677198330e+01 3.0154683835e+00 1.9037458017e+01 -1.0831041201e-01 9.9411712321e-01
9.7342987967e-05 1.6120199337e-04 2.7502543063e+01 2.7414217837e+01 2.2023930888e+00 1.8831004672e+01 -8.0079616046e-02 9.9678847059e-01
1.0132619888e-04 1.6149651201e-04 2.7320234613e+01 2.7258118881e+01 1.8412426142e+00 1.8735124532e+01 -6.7394831718e-02 9.9772638366e-01
1.0930185969e-04 1.6194171043e-04 2.6933031535e+01 2.6906407174e+01 1.1972638109e+00 1.8554308389e+01 -4.4453362385e-02 9.9901146068e-01
1.1728531827e-04 1.6221544989e-04 2.6528555913e+01 2.6520640774e+01 6.4799056435e-01 1.8387844196e+01 -2.4426152953e-02 9.9970163702e-01
1.2127866351e-04 1.6229503654e-04 2.6319077812e+01 2.6315946497e+01 4.0597637449e-01 1.8309155242e+01 -1.5425174749e-02 9.9988102491e-01
1.2926668698e-04 1.6235400692e-04 2.5897712259e+01 2.5897711517e+01 -6.1981786196e-03 1.8163822781e+01 2.3933305605e-04 9.9999997136e-01
1.3725479293e-04 1.6229995343e-04 2.5518462576e+01 2.5516295100e+01 -3.3259082855e-01 1.8032126318e+01 1.3033341157e-02 9.9991506240e-01
1.4124845460e-04 1.6223625743e-04 2.5344796405e+01 2.5340287954e+01 -4.7802850752e-01 1.7969284175e+01 1.8861011936e-02 9.9982211529e-01
1.4923445386e-04 1.6204358922e-04 2.4999094302e+01 2.4988498932e+01 -7.2776167159e-01 1.7851180610e+01 2.9111521513e-02 9.9957616984e-01
1.5721848003e-04 1.6178069683e-04 2.4673954152e+01 2.4657603036e+01 -8.9812360414e-01 1.7747112793e+01 3.6399662518e-02 9.9933731271e-01
1.6520086616e-04 1.6147143685e-04 2.4380886631e+01 2.4361073713e+01 -9.8271078513e-01 1.7661468565e+01 4.0306605744e-02 9.9918735857e-01
1.6919184187e-04 1.6131118071e-04 2.4286320459e+01 2.4266943876e+01 -9.6994657061e-01 1.7630429323e+01 3.9937979582e-02 9.9920216062e-01
1.7717456527e-04 1.6101090776e-04 2.4386293744e+01 2.4371508378e+01 -8.4905945560e-01 1.7590203908e+01 3.4817076531e-02 9.9939370179e-01
1.8515893906e-04 1.6075849744e-04 2.5104732373e+01 2.5094391380e+01 -7.2049203867e-01 1.7559793402e+01 2.8699451082e-02 9.9958808592e-01
1.8915147892e-04 1.6064364698e-04 2.5783725894e+01 2.5773023745e+01 -7.4281088930e-01 1.7531587240e+01 2.8809292046e-02 9.9958492620e-01
1.9713499909e-04 1.6036845302e-04 2.7638000746e+01 2.7613015968e+01 -1.1749188896e+00 1.7415395694e+01 4.2510994205e-02 9.9909599908e-01
2.0510703787e-04 1.5987455366e-04 2.9735219128e+01 2.9628886476e+01 -2.5124376289e+00 1.7148397669e+01 8.4493664502e-02 9.9642401650e-01
2.0907906674e-04 1.5946308471e-04 3.0356011502e+01 3.0130925166e+01 -3.6898215296e+00 1.6934143519e+01 1.2155159216e-01 9.9258511496e-01
2.1696639441e-04 1.5821261364e-04 2.9792971329e+01 2.9271002717e+01 -5.5524355526e+00 1.6542660396e+01 1.8636729755e-01 9.8248014250e-01
2.2478195358e-04 1.5656448020e-04 2.8821891718e+01 2.8079193953e+01 -6.5007929633e+00 1.6289441175e+01 2.2555053037e-01 9.7423147057e-01
2.2866481961e-04 1.5562894537e-04 2.8405906409e+01 2.7555163947e+01 -6.8998883178e+00 1.6180998660e+01 2.4290329688e-01 9.7005050815e-01
2.3637952988e-04 1.5355840273e-04 2.7629753032e+01 2.6563212730e+01 -7.6025641781e+00 1.5976480321e+01 2.7515860056e-01 9.6139884779e-01
2.4402319102e-04 1.5123903265e-04 2.6901008933e+01 2.5616415485e+01 -8.2136191347e+00 1.5789102995e+01 3.0532754943e-01 9.5224738779e-01
2.4781703921e-04 1.4999041884e-04 2.6543896802e+01 2.5149110213e+01 -8.4912138675e+00 1.5697898631e+01 3.1989326702e-01 9.4745358605e-01
2.5534560825e-04 1.4732088030e-04 2.5841283913e+01 2.4222492045e+01 -9.0023793179e+00 1.5524803702e+01 3.4837198292e-01 9.3735636847e-01
2.6279062601e-04 1.4442645889e-04 2.5134546985e+01 2.3287722527e+01 -9.4566078297e+00 1.5356596722e+01 3.7623943790e-01 9.2652246890e-01
2.6647987678e-04 1.4289616003e-04 2.4776928879e+01 2.2814652679e+01 -9.6637377746e+00 1.5275826359e+01 3.9002968536e-01 9.2080228309e-01
2.7378772302e-04 1.3967104928e-04 2.4050648622e+01 2.1855392669e+01 -1.0038700634e+01 1.5117247856e+01 4.1739833266e-01 9.0872362790e-01
2.8099541251e-04 1.3622793743e-04 2.3297894261e+01 2.0868232829e+01 -1.0358992981e+01 1.4964042882e+01 4.4463215711e-01 8.9571326040e-01
2.8455929055e-04 1.3442485410e-04 2.2909016543e+01 2.0362314964e+01 -1.0497579163e+01 1.4887454593e+01 4.5822914935e-01 8.8883409402e-01
2.9160205460e-04 1.3065591105e-04 2.2123484429e+01 1.9342598198e+01 -1.0738363853e+01 1.4742962993e+01 4.8538302759e-01 8.7430161645e-01
2.9852430551e-04 1.2666998883e-04 2.1285881158e+01 1.8277186391e+01 -1.0910233468e+01 1.4600906061e+01 5.1255728558e-01 8.5865303179e-01
3.0193740237e-04 1.2459562232e-04 2.0852589435e+01 1.7732934482e+01 -1.0971486718e+01 1.4532263540e+01 5.2614505032e-01 8.5039484125e-01
3.0866153081e-04 1.2028393424e-04 1.9948245388e+01 1.6615735452e+01 -1.1038561022e+01 1.4399730336e+01 5.5335999772e-01 8.3294220263e-01
3.1524116492e-04 1.1575485634e-04 1.8993197284e+01 1.5464510394e+01 -1.1026806488e+01 1.4272459363e+01 5.8056610078e-01 8.1421311867e-01
3.1847354841e-04 1.1340884523e-04 1.8497648490e+01 1.4878540931e+01 -1.0990542271e+01 1.4212955359e+01 5.9415888875e-01 8.0434769529e-01
3.2481665996e-04 1.0855412015e-04 1.7461043735e+01 1.3682123014e+01 -1.0848389657e+01 1.4095318248e+01 6.2129101913e-01 7.8357990630e-01
3.3098821183e-04 1.0348313749e-04 1.6363309955e+01 1.2458884091e+01 -1.0608210023e+01 1.3989737891e+01 6.4829243301e-01 7.6139143763e-01
3.3400607121e-04 1.0086695381e-04 1.5792746407e+01 1.1840646488e+01 -1.0450355488e+01 1.3938429353e+01 6.6171869153e-01 7.4975220792e-01
3.3989866278e-04 9.5474411246e-05 1.4613367082e+01 1.0600152756e+01 -1.0059187792e+01 1.3846341977e+01 6.8835523911e-01 7.2537374145e-01
3.4559059815e-04 8.9870527399e-05 1.3375670547e+01 9.3564762767e+00 -9.5584995822e+00 1.3764463924e+01 7.1461834744e-01 6.9951455846e-01
3.4835763473e-04 8.6990384726e-05 1.2733970359e+01 8.7359573832e+00 -9.2648286391e+00 1.3727888300e+01 7.2756794445e-01 6.8603563042e-01
3.5372660628e-04 8.1076410630e-05 1.1421384021e+01 7.5153047803e+00 -8.6004771385e+00 1.3666392340e+01 7.5301531958e-01 6.5800298516e-01
3.5886608892e-04 7.4961980105e-05 1.0079724244e+01 6.3359728019e+00 -7.8394061950e+00 1.3619494171e+01 7.7774014498e-01 6.2858592641e-01
3.6134639532e-04 7.1831540412e-05 9.3967826665e+00 5.7638923716e+00 -7.4213926732e+00 1.3600947482e+01 7.8978017653e-01 6.1338998423e-01
3.6612201423e-04 6.5428916365e-05 8.0198789660e+00 4.6686041246e+00 -6.5209350676e+00 1.3579061187e+01 8.1309644389e-01 5.8212900026e-01
3.7064367564e-04 5.8844496676e-05 6.6472999170e+00 3.6549325089e+00 -5.5523026342e+00 1.3574289563e+01 8.3527187032e-01 5.4983716013e-01
3.7280695978e-04 5.5487155667e-05 5.9693687928e+00 3.1840311584e+00 -5.0492880060e+00 1.3578669286e+01 8.4586631874e-01 5.3339494825e-01
3.7693521620e-04 4.8649192497e-05 4.6540437808e+00 2.3276710671e+00 -4.0301452725e+00 1.3602606280e+01 8.6594485619e-01 5.0013948658e-01
3.8079725366e-04 4.1657377837e-05 3.4078271853e+00 1.5908640149e+00 -3.0137083155e+00 1.3645144436e+01 8.8434892722e-01 4.6682649337e-01
3.8262903749e-04 3.8108247688e-05 2.8237624891e+00 1.2718514921e+00 -2.5211164941e+00 1.3673537860e+01 8.9282172415e-01 4.5041022290e-01
3.8610008998e-04 3.0914173115e-05 1.7648174343e+00 7.3934142507e-01 -1.6024839574e+00 1.3742254004e+01 9.0801684425e-01 4.1893365891e-01
3.8933377454e-04 2.3610126345e-05 8.8430942074e-01 3.4609746363e-01 -8.1376882299e-01 1.3825971408e+01 9.2023086480e-01 3.9137597713e-01
3.9087516184e-04 1.9925434810e-05 5.3186402070e-01 2.0234383383e-01 -4.9187021604e-01 1.3871462205e+01 9.2480445546e-01 3.8044279356e-01
3.9386759397e-04 1.2518782366e-05 3.8943476919e-02 1.4443614908e-02 -3.6165956132e-02 1.3963822014e+01 9.2867815083e-01 3.7088662981e-01
3.9700894213e-04 5.1781717528e-06 1.1825843179e-01 -5.1609303294e-02 1.0640270909e-01 1.4042251638e+01 8.9974733712e-01 4.3641119296e-01
3.9894012033e-04 1.6909093998e-06 7.2134315446e-02 -3.8310649956e-02 6.1119993168e-02 1.4063060638e+01 8.4730814717e-01 5.3110159455e-01
