x_m y_m sigma_xx_Pa sigma_xy_Pa sigma_yy_Pa von_mises_Pa sigma_max_principal_Pa sigma_min_principal_Pa sigma_tension_Pa sigma_comp_mag_Pa is_surface wss_mag_dyn_cm2 wss_x_dyn_cm2 wss_y_dyn_cm2 pressure_Pa normal_x normal_y
3.2260232314e-04 1.1084172806e-04 -4.4496232269e+00 -8.2516531609e+00 -3.3307098632e+00 1.4323156043e+01 4.3793114517e+00 -1.2159644542e+01 4.3793114517e+00 1.2159644542e+01 1.0000000000e+00 1.7782701367e+01 1.4048544636e+01 -1.0902424570e+01 1.4145673421e+01 6.1309158521e-01 7.9001184051e-01
3.1901339872e-04 1.1358503222e-04 -4.2602041221e+00 -8.1649369159e+00 -3.7855200936e+00 1.4146343811e+01 4.1445332996e+00 -1.2190257515e+01 4.1445332996e+00 1.2190257515e+01 1.0000000000e+00 1.8289892704e+01 1.4635467113e+01 -1.0969196758e+01 1.4202838287e+01 5.9974090258e-01 8.0019425752e-01
3.1537764673e-04 1.1625688442e-04 -4.0685705599e+00 -8.0791674118e+00 -4.2199732996e+00 1.3992602933e+01 3.9343611402e+00 -1.2222905000e+01 3.9343611402e+00 1.2222905000e+01 1.0000000000e+00 1.8768856282e+01 1.5203271652e+01 -1.1005930093e+01 1.4262116018e+01 5.8639322117e-01 8.1002653671e-01
3.1169664745e-04 1.1885802342e-04 -3.8742833765e+00 -7.9935847116e+00 -4.6339689934e+00 1.3859633733e+01 3.7477370817e+00 -1.2255989452e+01 3.7477370817e+00 1.2255989452e+01 1.0000000000e+00 1.9242715777e+01 1.5769783071e+01 -1.1027060006e+01 1.4325507619e+01 5.7305112926e-01 8.1951961737e-01
3.0797192771e-04 1.2138913989e-04 -3.6750984544e+00 -7.9095480437e+00 -5.0275742265e+00 1.3748481826e+01 3.5863533428e+00 -1.2289026024e+01 3.5863533428e+00 1.2289026024e+01 1.0000000000e+00 1.9705665431e+01 1.6329672163e+01 -1.1029735134e+01 1.4387220641e+01 5.5972406376e-01 8.2867905274e-01
3.0420490345e-04 1.2385084572e-04 -3.4746273939e+00 -7.8261924092e+00 -5.4050818439e+00 1.3656885029e+01 3.4449516290e+00 -1.2324660867e+01 3.4449516290e+00 1.2324660867e+01 1.0000000000e+00 2.0578831913e+01 1.7410378839e+01 -1.0971190984e+01 1.4519259869e+01 5.3312991864e-01 8.4603338577e-01
3.0039699187e-04 1.2624379795e-04 -3.2697674118e+00 -7.7431361304e+00 -5.7664698858e+00 1.3583541883e+01 3.3243429138e+00 -1.2360580211e+01 3.3243429138e+00 1.2360580211e+01 1.0000000000e+00 2.0996174637e+01 1.7935649425e+01 -1.0915668971e+01 1.4584842775e+01 5.1988846350e-01 8.5423415146e-01
2.9654957524e-04 1.2856865024e-04 -3.0615902100e+00 -7.6603590078e+00 -6.1119283318e+00 1.3527412739e+01 3.2232961157e+00 -1.2396814658e+01 3.2232961157e+00 1.2396814658e+01 1.0000000000e+00 2.1406051851e+01 1.8454929086e+01 -1.0845950777e+01 1.4652858965e+01 5.0667684320e-01 8.6213605455e-01
2.9266394382e-04 1.3082598750e-04 -2.8482639589e+00 -7.5778638748e+00 -6.4426234880e+00 1.3488188062e+01 3.1419652851e+00 -1.2432852732e+01 3.1419652851e+00 1.2432852732e+01 1.0000000000e+00 2.1802570511e+01 1.8962786577e+01 -1.0759405471e+01 1.4724000183e+01 4.9349252035e-01 8.6975004016e-01
2.8874129304e-04 1.3301630041e-04 -2.6327221638e+00 -7.4956975924e+00 -6.7620100905e+00 1.3465337496e+01 3.0768501007e+00 -1.2471582355e+01 3.0768501007e+00 1.2471582355e+01 1.0000000000e+00 2.2184446543e+01 1.9457384030e+01 -1.0656447586e+01 1.4795146987e+01 4.8035670241e-01 8.7707322297e-01
2.8478287505e-04 1.3514016979e-04 -2.4124261366e+00 -7.4138125603e+00 -7.0673495022e+00 1.3457986312e+01 3.0300842009e+00 -1.2509859840e+01 3.0300842010e+00 1.2509859840e+01 1.0000000000e+00 2.2555045029e+01 1.9941329721e+01 -1.0539137784e+01 1.4865511354e+01 4.6726299019e-01 8.8411837330e-01
