x_m,y_m,wss_mag_dyn_cm2,wss_x_dyn_cm2,wss_y_dyn_cm2,pressure_Pa,normal_x,normal_y
-2.2755934626e-04,9.2070833022e-05,1.6840875792e+01,1.5908548955e+01,5.5256825454e+00,2.2619342944e+01,-3.2811135322e-01,9.4463905270e-01
-2.2377864156e-04,9.3369044236e-05,1.6995199237e+01,1.6093407671e+01,5.4625110193e+00,2.2574006101e+01,-3.2141494448e-01,9.4693845284e-01
-2.1998887403e-04,9.4640557785e-05,1.7142633510e+01,1.6271330585e+01,5.3957098363e+00,2.2528170973e+01,-3.1475384650e-01,9.4917333302e-01
-2.1619030455e-04,9.5885531340e-05,1.7282975235e+01,1.6442023896e+01,5.3255124783e+00,2.2481901531e+01,-3.0813632526e-01,9.5134221238e-01
-2.1238320095e-04,9.7104160368e-05,1.7417068106e+01,1.6606183107e+01,5.2525178746e+00,2.2436046622e+01,-3.0157302265e-01,9.5344308273e-01
-2.0856782832e-04,9.8296649816e-05,1.7545031033e+01,1.6763914510e+01,5.1768025096e+00,2.2389123477e+01,-2.9505804236e-01,9.5547933083e-01
-2.0474444514e-04,9.9463202650e-05,1.7666185042e+01,1.6914504358e+01,5.0983954603e+00,2.2341900773e+01,-2.8859628993e-01,9.5745087678e-01
-2.0091331304e-04,1.0060405184e-04,1.7781490608e+01,1.7058783669e+01,5.0178987628e+00,2.2295128341e+01,-2.8219786931e-01,9.5935622297e-01
-1.9707468923e-04,1.0171943625e-04,1.7891805593e+01,1.7197587076e+01,4.9355553017e+00,2.2247497844e+01,-2.7585562988e-01,9.6119908004e-01
-1.9322882293e-04,1.0280958895e-04,1.7996085363e+01,1.7329865397e+01,4.8512734105e+00,2.2200033365e+01,-2.6957381634e-01,9.6297972852e-01
-1.8937596183e-04,1.0387475899e-04,1.8094515378e+01,1.7455754896e+01,4.7653024824e+00,2.2152205303e+01,-2.6335618186e-01,9.6469866874e-01
-1.8551634849e-04,1.0491519924e-04,1.8187916684e+01,1.7576037972e+01,4.6779485356e+00,2.2104156273e+01,-2.5720089974e-01,9.6635795499e-01
-1.8165021643e-04,1.0593115138e-04,1.8276084740e+01,1.7690520241e+01,4.5892011314e+00,2.2055839713e+01,-2.5110417230e-01,9.6796006873e-01
-1.7777779770e-04,1.0692287442e-04,1.8359276545e+01,1.7799378156e+01,4.4994635809e+00,2.2007428111e+01,-2.4507847953e-01,9.6950324335e-01
-1.7389932077e-04,1.0789063631e-04,1.8437052995e+01,1.7902213491e+01,4.4085910738e+00,2.1958776009e+01,-2.3911582155e-01,9.7099105242e-01
-1.7001500595e-04,1.0883469662e-04,1.8509754121e+01,1.7999329123e+01,4.3168447666e+00,2.1910429130e+01,-2.3321999517e-01,9.7242399901e-01
-1.6612506767e-04,1.0975531400e-04,1.8578131897e+01,1.8091469024e+01,4.2244210628e+00,2.1861426703e+01,-2.2738675160e-01,9.7380453131e-01
-1.6222971788e-04,1.1065276118e-04,1.8641015775e+01,1.8177440381e+01,4.1313593765e+00,2.1811825543e+01,-2.2162737409e-01,9.7513143066e-01
-1.5832916076e-04,1.1152730093e-04,1.8698536858e+01,1.8257434962e+01,4.0374929406e+00,2.1763173885e+01,-2.1592560804e-01,9.7640981754e-01
-1.5442359336e-04,1.1237918933e-04,1.8751494237e+01,1.8332175508e+01,3.9433332710e+00,2.1713868420e+01,-2.1029434887e-01,9.7763811650e-01
-1.5051321251e-04,1.1320870539e-04,1.8799536498e+01,1.8401325259e+01,3.8488701233e+00,2.1664170157e+01,-2.0473218176e-01,9.7881802893e-01
-1.4659820725e-04,1.1401611700e-04,1.8842207900e+01,1.8464454612e+01,3.7540264277e+00,2.1614749688e+01,-1.9923495419e-01,9.7995175036e-01
-1.4267876081e-04,1.1480168928e-04,1.8879285115e+01,1.8521333609e+01,3.6589080079e+00,2.1564846888e+01,-1.9380543201e-01,9.8103998620e-01
-1.3875505408e-04,1.1556570124e-04,1.8911457568e+01,1.8572624882e+01,3.5638227176e+00,2.1515394958e+01,-1.8844780762e-01,9.8208320615e-01
-1.3482726415e-04,1.1630843916e-04,1.8938432080e+01,1.8618047510e+01,3.4687917991e+00,2.1465430915e+01,-1.8316150907e-01,9.8308283557e-01
-1.3089556215e-04,1.1703018505e-04,1.8959280443e+01,1.8656698609e+01,3.3737089270e+00,2.1415109823e+01,-1.7794498779e-01,9.8404043683e-01
-1.2696011499e-04,1.1773122560e-04,1.8974175439e+01,1.8688738562e+01,3.2787779062e+00,2.1365386326e+01,-1.7280212870e-01,9.8495655961e-01
-1.2302108756e-04,1.1841186479e-04,1.8983305923e+01,1.8714344041e+01,3.1842158973e+00,2.1315414724e+01,-1.6773769070e-01,9.8583166267e-01
-1.1907864015e-04,1.1907240976e-04,1.8985982741e+01,1.8732853728e+01,3.0899404312e+00,2.1265253658e+01,-1.6274851154e-01,9.8666758434e-01
-1.1513292798e-04,1.1971316803e-04,1.8982625897e+01,1.8744679302e+01,2.9961782000e+00,2.1215491535e+01,-1.5783792064e-01,9.8746503270e-01
-1.1118410523e-04,1.2033447268e-04,1.8972667261e+01,1.8749241417e+01,2.9031102785e+00,2.1165169795e+01,-1.5301540045e-01,9.8822380422e-01
-1.0723232301e-04,1.2093667070e-04,1.8955648337e+01,1.8746106092e+01,2.8107134778e+00,2.1115066952e+01,-1.4827841432e-01,9.8894565667e-01
-1.0327772725e-04,1.2152011079e-04,1.8931513121e+01,1.8735219963e+01,2.7191399294e+00,2.1065465588e+01,-1.4363035390e-01,9.8963140686e-01
-9.9320461618e-05,1.2208516270e-04,1.8899361560e+01,1.8715685811e+01,2.6284923489e+00,2.1015255497e+01,-1.3907836730e-01,9.9028137807e-01
-9.5360668223e-05,1.2263222425e-04,1.8859487751e+01,1.8687791519e+01,2.5390404428e+00,2.0965870127e+01,-1.3462934287e-01,9.9089602887e-01
-9.1398485529e-05,1.2316170841e-04,1.8811722887e+01,1.8651385304e+01,2.4508660136e+00,2.0916466879e+01,-1.3028397390e-01,9.9147671992e-01
-8.7434048895e-05,1.2367404890e-04,1.8755300170e+01,1.8605701161e+01,2.3641422933e+00,2.0867034534e+01,-1.2605195715e-01,9.9202364090e-01
-8.3467492633e-05,1.2416971784e-04,1.8689662463e+01,1.8550183948e+01,2.2790696520e+00,2.0818031088e+01,-1.2194279359e-01,9.9253713033e-01
-7.9498948967e-05,1.2464922089e-04,1.8614494574e+01,1.8484526291e+01,2.1958360687e+00,2.0769294377e+01,-1.1796377602e-01,9.9301789891e-01
-7.5528547096e-05,1.2511309239e-04,1.8529338104e+01,1.8408281281e+01,2.1146041846e+00,2.0721084459e+01,-1.1412194935e-01,9.9346674865e-01
-7.1556414568e-05,1.2556190990e-04,1.8433668155e+01,1.8320922167e+01,2.0356651504e+00,2.0673200233e+01,-1.1043190825e-01,9.9388369221e-01
-6.7582678033e-05,1.2599630426e-04,1.8326914195e+01,1.8221885665e+01,1.9592515721e+00,2.0625760221e+01,-1.0690569897e-01,9.9426916453e-01
-6.3607462328e-05,1.2641695516e-04,1.8208358743e+01,1.8110464296e+01,1.8855797826e+00,2.0579055833e+01,-1.0355572455e-01,9.9462365340e-01
-5.9630891089e-05,1.2682460091e-04,1.8077410015e+01,1.7986069646e+01,1.8149522209e+00,2.0533026245e+01,-1.0039890777e-01,9.9494726459e-01
-5.5653088712e-05,1.2722006177e-04,1.7933151053e+01,1.7847780436e+01,1.7477528968e+00,2.0487675289e+01,-9.7459330581e-02,9.9523950830e-01
-5.1674179881e-05,1.2760423970e-04,1.7775001799e+01,1.7695027413e+01,1.6842487401e+00,2.0443267872e+01,-9.4753787323e-02,9.9550073822e-01
-4.7694289176e-05,1.2797811842e-04,1.7602193553e+01,1.7527043660e+01,1.6247948827e+00,2.0399960331e+01,-9.2306386576e-02,9.9573065183e-01
-4.3713543827e-05,1.2834279497e-04,1.7413217279e+01,1.7342314568e+01,1.5697966202e+00,2.0357820257e+01,-9.0149717596e-02,9.9592822453e-01
-3.9732075723e-05,1.2869950398e-04,1.7207214278e+01,1.7139971076e+01,1.5197416692e+00,2.0317011349e+01,-8.8320029299e-02,9.9609215057e-01
