x_m,y_m,von_mises_Pa,wss_mag_dyn_cm2
-1.7750463519e-04,1.0688956793e-04,2.9693380291e+01,1.8347245193e+01
-1.8014344248e-04,1.0621770328e-04,2.9923951452e+01,1.8347245193e+01
-1.8278017112e-04,1.0553445951e-04,3.0148025040e+01,1.8260375255e+01
-1.8541468869e-04,1.0483975884e-04,3.0369625809e+01,1.8168533268e+01
-1.8804687253e-04,1.0413352725e-04,3.0584889343e+01,1.8168533268e+01
-1.9067656543e-04,1.0341571801e-04,3.0794182583e+01,1.8071677825e+01
-1.9330362316e-04,1.0268626301e-04,3.0996237878e+01,1.7969362786e+01
-1.9592788223e-04,1.0194509801e-04,3.1189311095e+01,1.7969362786e+01
-1.9854915355e-04,1.0119217434e-04,3.1381323065e+01,1.7861539442e+01
-2.0116734521e-04,1.0042741371e-04,3.1568784753e+01,1.7748697855e+01
-2.0378226947e-04,9.9650785549e-05,3.1749472672e+01,1.7629896417e+01
-2.0639377452e-04,9.8862231420e-05,3.1925959979e+01,1.7629896417e+01
-2.0900171781e-04,9.8061694546e-05,3.2093572323e+01,1.7504886062e+01
-2.1160589853e-04,9.7249136276e-05,3.2261146518e+01,1.7374561866e+01
-2.1420623131e-04,9.6424517252e-05,3.2416947044e+01,1.7374561866e+01
-2.1680246349e-04,9.5587828590e-05,3.2568572355e+01,1.7237506302e+01
-2.1939447961e-04,9.4739018320e-05,3.2711830034e+01,1.7093683647e+01
-2.2198207825e-04,9.3878078246e-05,3.2845429831e+01,1.7093683647e+01
-2.2456505793e-04,9.3005009051e-05,3.2967348329e+01,1.6943360029e+01
-2.2714323156e-04,9.2119827908e-05,3.3076861878e+01,1.6786243346e+01
-2.2971635797e-04,9.1222537122e-05,3.3168594028e+01,1.6786243346e+01
-2.3228418575e-04,9.0313169387e-05,3.3235479215e+01,1.6622807364e+01
-2.3484637588e-04,8.9391753520e-05,3.3258095723e+01,1.6453725062e+01
-2.3740235621e-04,8.8458431930e-05,3.3229336352e+01,1.6453725062e+01
-2.3995141375e-04,8.7513161251e-05,3.3134597317e+01,1.6278012671e+01
-2.4249198747e-04,8.6556006871e-05,3.2969638709e+01,1.6088625612e+01
-2.4502254651e-04,8.5586795905e-05,3.3014697982e+01,1.6088625612e+01
-2.4754348063e-04,8.4605852622e-05,3.3506251237e+01,1.5876438260e+01
-2.5005761227e-04,8.3612927214e-05,3.4316939187e+01,1.5645675292e+01
-2.5256758696e-04,8.2607347759e-05,3.5240205486e+01,1.5404863915e+01
-2.5507514626e-04,8.1588605976e-05,3.6047551029e+01,1.5404863915e+01
-2.5758035624e-04,8.0556941356e-05,3.6638970482e+01,1.5153871606e+01
-2.6008213520e-04,7.9512759114e-05,3.7071000463e+01,1.4890227548e+01
-2.6257957365e-04,7.8456683930e-05,3.7472227030e+01,1.4890227548e+01
-2.6507241251e-04,7.7389125109e-05,3.7865993480e+01,1.4611801783e+01
-2.6756047846e-04,7.6310475202e-05,3.8258609294e+01,1.4316773288e+01
-2.7004367689e-04,7.5221261283e-05,3.8654243109e+01,1.4316773288e+01
-2.7252204249e-04,7.4122060229e-05,3.9064854516e+01,1.4003635989e+01
