x_m y_m sigma_xx_Pa sigma_xy_Pa sigma_yy_Pa von_mises_Pa sigma_max_principal_Pa sigma_min_principal_Pa sigma_tension_Pa sigma_comp_mag_Pa
9.8618191064e-05 1.5913208922e-04 4.2366720998e+00 -1.6634682380e+00 -1.7956010573e+01 1.9423098949e+01 4.3542621701e+00 -1.8073600643e+01 4.3451139190e+00 1.8073606912e+01
9.4853938511e-05 1.5815043419e-04 5.1816309760e+00 -1.1827503777e+00 -1.7954772944e+01 2.0121435720e+01 5.2305453451e+00 -1.8003687313e+01 5.2160073908e+00 1.8003658406e+01
9.1093961962e-05 1.5709105021e-04 6.3812942457e+00 -5.9342530186e-01 -1.7944562367e+01 2.1059929921e+01 6.3773221482e+00 -1.7940590269e+01 6.3692009353e+00 1.7940691502e+01
8.7343437736e-05 1.5593237700e-04 7.8187374441e+00 1.7323018702e-01 -1.7888867233e+01 2.2208697945e+01 7.7871328426e+00 -1.7857262631e+01 7.7303236064e+00 1.7857415277e+01
8.3611639902e-05 1.5464720233e-04 9.4713702768e+00 1.1763332660e+00 -1.7789672521e+01 2.3588653472e+01 9.4597643097e+00 -1.7778066554e+01 9.5698598834e+00 1.7774576063e+01
7.9916055758e-05 1.5319896879e-04 1.1458323135e+01 2.4894052068e+00 -1.7427295186e+01 2.5302334775e+01 1.1623823768e+01 -1.7592795819e+01 1.1747280105e+01 1.7613900307e+01
7.6287400457e-05 1.5153560466e-04 1.2472739701e+01 4.2630237995e+00 -1.7596726908e+01 2.6299357191e+01 1.2621947350e+01 -1.7745934557e+01 1.3848550832e+01 1.7682792853e+01
7.2782908205e-05 1.4956318952e-04 1.9149153447e+01 6.9039378177e+00 -1.6310947660e+01 3.5046648325e+01 2.1653294738e+01 -1.8815088951e+01 1.8597821343e+01 1.8569481957e+01
6.9645309884e-05 1.4702677100e-04 1.5352223241e+01 1.0916446848e+01 -6.9798688808e+00 1.5763733236e+01 1.3287372807e+01 -4.9150184471e+00 1.3768731078e+01 9.1928665881e+00
6.8014245939e-05 1.4431451956e-04 5.9247147419e+00 -2.8904520630e+01 -4.1663389795e+01 6.1495949951e+01 1.7635365732e+01 -5.3374040785e+01 1.6976592852e+01 5.1743206571e+01
6.6769287420e-05 1.4285739223e-04 -5.7578788232e+01 -3.8910587083e+01 -1.0395081348e+02 7.6060157030e+01 -3.6851448718e+01 -1.2467815299e+02 -5.8869982877e+00 1.2469026872e+02
6.5060128974e-05 1.4179238622e-04 -6.1995268395e+01 -3.9487640798e+01 -5.9690881497e+01 6.7782567424e+01 -2.1708791397e+01 -9.9977358494e+01 1.0211156272e+00 1.0000559092e+02
