x_m,y_m,sigma_xx_Pa,sigma_xy_Pa,sigma_yy_Pa,von_mises_Pa,sigma_max_principal_Pa,sigma_min_principal_Pa,sigma_tension_Pa,sigma_comp_mag_Pa
1.5306737179e-04,1.6826385866e-04,1.0629486977e+01,-3.3525469777e+00,-1.2915737929e+01,2.1185020827e+01,1.1088052001e+01,-1.3374302953e+01,1.1085990422e+01,1.3374302953e+01
1.4833417990e-04,1.6809838922e-04,1.2168259998e+01,-2.9624610232e+00,-1.2962007073e+01,2.2338035551e+01,1.2499997301e+01,-1.3293744376e+01,1.2500112821e+01,1.3293744376e+01
1.4356994961e-04,1.6774675685e-04,1.2469766087e+01,-2.0119997384e+00,-1.4260068775e+01,2.3386800028e+01,1.2607223948e+01,-1.4397526636e+01,1.2607946007e+01,1.4397526636e+01
1.3888777275e-04,1.6711033230e-04,7.8847858057e+00,-7.6776600940e-01,-1.7796528081e+01,2.2287378916e+01,7.9117530791e+00,-1.7823495355e+01,7.9048017718e+00,1.7823495355e+01
1.3457398462e-04,1.6630432126e-04,7.8361396893e+00,-9.8618276403e-01,-1.7914986471e+01,2.2370028555e+01,7.8759186167e+00,-1.7954765399e+01,7.8788084316e+00,1.7954765399e+01
1.3048380351e-04,1.6549451683e-04,6.6167747951e+00,-1.7253787942e+00,-1.7979493691e+01,2.1510697761e+01,6.7378476951e+00,-1.8100566591e+01,6.7385352397e+00,1.8100566591e+01
1.2657175712e-04,1.6471745786e-04,5.6376502058e+00,-2.3345772428e+00,-1.7330942265e+01,2.0284053168e+01,5.8643575273e+00,-1.7557649586e+01,5.8576154289e+00,1.7557649586e+01
1.2273371426e-04,1.6399130227e-04,4.1715906053e+00,-2.7043747972e+00,-1.6977968049e+01,1.8888042898e+01,4.5018279300e+00,-1.7308205373e+01,4.5059247754e+00,1.7308205373e+01
1.1892051138e-04,1.6329092519e-04,2.4091050653e+00,-2.8982282973e+00,-1.7328667939e+01,1.7795180268e+01,2.8142706809e+00,-1.7733833555e+01,2.8176005472e+00,1.7733833554e+01
1.1512591272e-04,1.6259532061e-04,1.6249744883e+00,-2.8941438559e+00,-1.7580082290e+01,1.7364769683e+01,2.0480005499e+00,-1.8003108352e+01,2.0488413653e+00,1.8003108355e+01
1.1134111675e-04,1.6189174101e-04,1.5290484478e+00,-2.7861280187e+00,-1.7685654963e+01,1.7326528506e+01,1.9251726398e+00,-1.8081779155e+01,1.9118398426e+00,1.8081779136e+01
1.0755951418e-04,1.6116738807e-04,1.7060965030e+00,-2.6350556475e+00,-1.7778548164e+01,1.7480107273e+01,2.0559188094e+00,-1.8128370470e+01,2.0507784990e+00,1.8128370529e+01
1.0378042719e-04,1.6041149164e-04,2.1577166254e+00,-2.3684281069e+00,-1.7841185960e+01,1.7793307330e+01,2.4312361094e+00,-1.8114705444e+01,2.4356022854e+00,1.8114705152e+01
1.0000010917e-04,1.5961180389e-04,2.8571916457e+00,-2.0646443989e+00,-1.7912601012e+01,1.8328337455e+01,3.0541658802e+00,-1.8109575247e+01,3.0433251748e+00,1.8109575551e+01
9.6219613640e-05,1.5875655956e-04,3.7669665029e+00,-1.6574960770e+00,-1.7941992042e+01,1.9003155506e+01,3.8839641770e+00,-1.8058989716e+01,3.8709466918e+00,1.8058996216e+01
9.2439682515e-05,1.5783184873e-04,4.8696966851e+00,-1.1757690175e+00,-1.7963112360e+01,1.9853591456e+01,4.9157685343e+00,-1.8009184209e+01,4.9121026902e+00,1.8009131086e+01
8.8663538123e-05,1.5682140798e-04,6.1561282815e+00,-5.7226453383e-01,-1.7960037178e+01,2.0870851763e+01,6.1478374352e+00,-1.7951746332e+01,6.1092827498e+00,1.7952010141e+01
8.4896832566e-05,1.5570565002e-04,7.6187645118e+00,1.8337658279e-01,-1.7926520573e+01,2.2063073733e+01,7.5842435284e+00,-1.7891999590e+01,7.6044134557e+00,1.7891375790e+01
8.1149485651e-05,1.5445943682e-04,9.2063564954e+00,1.1434634066e+00,-1.7852801590e+01,2.3402754689e+01,9.1883641721e+00,-1.7834809267e+01,9.3176273966e+00,1.7832070589e+01
