x_m y_m von_mises_Pa wss_mag_dyn_cm2
-2.9438698434e-04 6.4102463315e-05 4.4178808187e+01 1.1552053286e+01
-2.9684346154e-04 6.2979908205e-05 4.5135192218e+01 1.1057346300e+01
-2.9930572859e-04 6.1869009014e-05 4.6225768454e+01 1.1057346300e+01
-3.0177747393e-04 6.0775244620e-05 4.7438856217e+01 1.0524585472e+01
-3.0426204628e-04 5.9705968948e-05 4.8872846790e+01 9.9558917947e+00
-3.0676498760e-04 5.8671200775e-05 5.0577959899e+01 9.9558917947e+00
-3.0929262096e-04 5.7685290072e-05 5.2671582778e+01 9.3510728040e+00
-3.1185291417e-04 5.6770713079e-05 5.4861838137e+01 8.7373039757e+00
-3.1445718170e-04 5.5967242346e-05 6.0661826238e+01 8.7373039757e+00
-3.1711251303e-04 5.5398770359e-05 6.7185738832e+01 9.2280070783e+00
-3.2008984499e-04 5.5184420474e-05 5.6462936974e+01 1.2207222083e+01
-3.2502662691e-04 5.4452310256e-05 5.9537418171e+01 1.5476349245e+01
-3.3055479297e-04 5.2435928614e-05 7.3688061725e+01 1.5982145793e+01
-3.3598679826e-04 4.9844783280e-05 7.6239241899e+01 1.5107324539e+01
-3.4137612194e-04 4.6884661364e-05 8.1741326325e+01 1.3457432265e+01
-3.4675205667e-04 4.3617819348e-05 8.7977470569e+01 1.2680467326e+01
-3.5213581731e-04 4.0069566632e-05 9.5626066113e+01 1.1195475262e+01
-3.5754579242e-04 3.6246681222e-05 1.0513466570e+02 1.0465765786e+01
-3.6300260784e-04 3.2141200508e-05 1.1700001610e+02 9.0521517577e+00
-3.6852091748e-04 2.7736604239e-05 1.3244730589e+02 7.6330006445e+00
-3.7412591615e-04 2.3001806238e-05 1.5376708280e+02 6.1913224043e+00
-3.7985342142e-04 1.7894386800e-05 1.8421215113e+02 4.7134859251e+00
-3.8576530743e-04 1.2370653056e-05 2.2941917639e+02 3.2090588408e+00
-3.9208624652e-04 6.4026996584e-06 3.5560560949e+02 1.7871907671e+00
-3.9600000000e-04 3.0463089129e-20 1.7543917899e+02 5.0311157859e-01
-3.9200000000e-04 3.0310008279e-20 1.4803583353e+02 nan
-3.8800000000e-04 3.0156927429e-20 1.1938435282e+02 nan
-3.8400000000e-04 3.0003846579e-20 1.0656553182e+02 nan
-3.8000000000e-04 2.9850765729e-20 1.0136581276e+02 nan
-3.7600000000e-04 2.9697684879e-20 1.0332791921e+02 nan
-3.7200000000e-04 2.9544604029e-20 1.1998259640e+02 nan
-3.6800000000e-04 2.9391523180e-20 1.3395634605e+02 nan
-3.6400000000e-04 2.9238442330e-20 1.4766378463e+02 nan
-3.6000000000e-04 2.9085361480e-20 1.6712537415e+02 nan
-3.5600000000e-04 2.8932280630e-20 1.9188511862e+02 nan
-3.5200000000e-04 2.8779199780e-20 2.1700041575e+02 nan
-3.4800000000e-04 2.8626118930e-20 2.4131666001e+02 nan
-3.4400000000e-04 2.8473038080e-20 2.6525140553e+02 nan
-3.4000000000e-04 2.8319957230e-20 2.8712612797e+02 nan
-3.3600000000e-04 2.8166876380e-20 3.0391062685e+02 nan
-3.3200000000e-04 2.8013795530e-20 3.1053497194e+02 nan
-3.2800000000e-04 2.7860714681e-20 3.0920039121e+02 nan
-3.2400000000e-04 2.7707633831e-20 3.1161869908e+02 nan
-3.2000000000e-04 2.7554552981e-20 3.1804880652e+02 nan
-3.1600000000e-04 2.7401472131e-20 3.2294752479e+02 nan
-3.1200000000e-04 2.7248391281e-20 3.2646384904e+02 nan
-3.0800000000e-04 2.7095310431e-20 3.2879764822e+02 nan
-3.0400000000e-04 2.6942229581e-20 3.2986056136e+02 nan
-3.0000000000e-04 2.6789148731e-20 3.2929141976e+02 nan
-2.9600000000e-04 2.6636067881e-20 3.2709334452e+02 nan
-2.9200000000e-04 2.6482987032e-20 3.2326602589e+02 nan
-2.8800000000e-04 2.6329906182e-20 3.1600645455e+02 nan
-2.8400000000e-04 2.6176825332e-20 3.0455674734e+02 nan
-2.8000000000e-04 2.6023744482e-20 2.9542660774e+02 nan
-2.7600000000e-04 2.5870663632e-20 2.8921925624e+02 nan
-2.7200000000e-04 2.5717582782e-20 2.8424543070e+02 nan
-2.6800000000e-04 2.5564501932e-20 2.8012811088e+02 nan
-2.6400000000e-04 2.5411421082e-20 2.7660020176e+02 nan
-2.6000000000e-04 2.5258340232e-20 2.7349720469e+02 nan
-2.5600000000e-04 2.5105259383e-20 2.7071646694e+02 nan
-2.5200000000e-04 2.4952178533e-20 2.6818614382e+02 nan
