x_m,y_m,wss_mag_dyn_cm2,wss_x_dyn_cm2,wss_y_dyn_cm2,pressure_Pa,normal_x,normal_y
7.8279563525e-05,1.5702762639e-04,2.8000241818e+01,2.7326727275e+01,6.1043851679e+00,1.9668974607e+01,-2.1801187317e-01,9.7594611693e-01
8.2192698405e-05,1.5785224712e-04,2.7922437808e+01,2.7389944866e+01,5.4271035915e+00,1.9520014878e+01,-1.9436353046e-01,9.8092956833e-01
8.6123596024e-05,1.5858804586e-04,2.7788178687e+01,2.7366290203e+01,4.8237988396e+00,1.9386273834e+01,-1.7359175979e-01,9.8481769934e-01
9.0068431353e-05,1.5924542689e-04,2.7621705141e+01,2.7287243335e+01,4.2854341760e+00,1.9263453472e+01,-1.5514734351e-01,9.8789134109e-01
9.4024316212e-05,1.5983299622e-04,2.7438533890e+01,2.7173402620e+01,3.8051717616e+00,1.9151108590e+01,-1.3867984991e-01,9.9033726539e-01
9.7989010424e-05,1.6035812400e-04,2.7238773773e+01,2.7028818211e+01,3.3754677882e+00,1.9045279844e+01,-1.2392142966e-01,9.9229203326e-01
1.0593813991e-04,1.6124599232e-04,2.6821053357e+01,2.6689962551e+01,2.6485471811e+00,1.8855898923e+01,-9.8748812952e-02,9.9511239161e-01
1.0992005248e-04,1.6161948312e-04,2.6610330415e+01,2.6507042415e+01,2.3423038274e+00,1.8770074930e+01,-8.8022350375e-02,9.9611849990e-01
1.1390558481e-04,1.6195231774e-04,2.6400682561e+01,2.6319383945e+01,2.0702822154e+00,1.8689484146e+01,-7.8417753428e-02,9.9692058658e-01
1.1789399708e-04,1.6224882571e-04,2.6193643664e+01,2.6129654067e+01,1.8297941766e+00,1.8613584185e+01,-6.9856420132e-02,9.9755705630e-01
1.2188467968e-04,1.6251319867e-04,2.5991782441e+01,2.5941214732e+01,1.6205346833e+00,1.8543207325e+01,-6.2347962744e-02,9.9805447323e-01
1.2587710969e-04,1.6274990503e-04,2.5802371958e+01,2.5761851426e+01,1.4454790848e+00,1.8478600819e+01,-5.6021170734e-02,9.9842958111e-01
1.2987085450e-04,1.6296343569e-04,2.5636512432e+01,2.5603465852e+01,1.3012709312e+00,1.8419125766e+01,-5.0758500583e-02,9.9871095649e-01
1.3386559269e-04,1.6315761212e-04,2.5491992354e+01,2.5464603740e+01,1.1813680853e+00,1.8363886828e+01,-4.6342712995e-02,9.9892559931e-01
1.4185711763e-04,1.6350130781e-04,2.5273227609e+01,2.5252922242e+01,1.0128929026e+00,1.8266600978e+01,-4.0077702709e-02,9.9919656612e-01
1.4585349559e-04,1.6365844585e-04,2.5210637896e+01,2.5191945004e+01,9.7065442606e-01,1.8226582271e+01,-3.8501779688e-02,9.9925853159e-01
1.4985000357e-04,1.6381228319e-04,2.5202884210e+01,2.5184269490e+01,9.6847444533e-01,1.8193664156e+01,-3.8427127517e-02,9.9926140517e-01
1.5384644111e-04,1.6396792279e-04,2.5278897949e+01,2.5259266330e+01,9.9606526373e-01,1.8168678622e+01,-3.9403033540e-02,9.9922339892e-01
1.5784257032e-04,1.6413117500e-04,2.5475810252e+01,2.5453079417e+01,1.0759443192e+00,1.8153132833e+01,-4.2233958747e-02,9.9910774831e-01
1.6183807890e-04,1.6430880175e-04,2.5900646306e+01,2.5872519116e+01,1.2067450631e+00,1.8146583931e+01,-4.6591310843e-02,9.9891403522e-01
1.6583284945e-04,1.6450239578e-04,2.6690382350e+01,2.6656705703e+01,1.3403548167e+00,1.8133852123e+01,-5.0218644273e-02,9.9873824787e-01
1.7382378795e-04,1.6485652349e-04,2.9130023093e+01,2.9112113819e+01,1.0213101482e+00,1.8018879059e+01,-3.5060396107e-02,9.9938519532e-01
1.7782173600e-04,1.6495488719e-04,3.0614341796e+01,3.0611285969e+01,4.3254470435e-01,1.7875308545e+01,-1.4128825869e-02,9.9990018316e-01
1.8182007107e-04,1.6493093494e-04,3.1675084764e+01,3.1664287320e+01,-8.2698446684e-01,1.7639193738e+01,2.6108358446e-02,9.9965911871e-01
