x_m y_m sigma_comp_mag_Pa
3.5814926191e-04 1.1808494237e-05 1.1831963767e+01
1.1149874133e-04 1.2230262091e-04 1.7277127321e+01
1.3468317442e-04 1.4942296082e-04 1.7041219440e+01
-1.8013333599e-04 6.7758432526e-05 3.8283774658e+01
1.8119862983e-04 6.7554243866e-05 1.7026727274e+01
-4.4474352252e-05 4.2015451955e-05 4.4531572132e+01
-6.6922627283e-05 4.0262715999e-05 4.5618639971e+01
-8.9279049317e-05 4.1969291359e-05 4.5318063304e+01
-2.1872034375e-05 4.0599018794e-05 4.2814665576e+01
-6.6033318481e-05 9.4849112591e-05 3.5360841474e+01
2.2248094190e-05 4.1876613351e-05 3.2766684946e+01
1.7953979823e-04 4.1064432106e-05 1.8025560377e+01
1.5693418196e-04 4.0338906271e-05 1.9855328660e+01
-2.4717667053e-04 1.4036845339e-05 3.7436841698e+01
3.5386699526e-04 7.1025046687e-05 1.2227947491e+01
-2.4140221068e-04 8.1413645860e-05 3.7046764880e+01
-1.1189313573e-04 4.0431166083e-05 4.5316350153e+01
1.1354528022e-04 1.4869890742e-04 1.7222543816e+01
-2.2335452158e-04 8.8790149671e-05 3.6180739541e+01
-2.6811348461e-04 1.2892806054e-05 2.8132684860e+01
2.4752309256e-04 9.4992068591e-05 1.4818276857e+01
3.1777875761e-04 1.0623837436e-04 1.2536487451e+01
2.8950223819e-04 1.2278074265e-04 1.2888183869e+01
-1.1260565589e-04 1.1428022728e-04 3.3060605345e+01
-1.6771776019e-04 1.0370271384e-04 3.4519995712e+01
-1.4180756739e-04 1.1030567607e-04 3.3745705995e+01
-2.5282071600e-04 7.7760213137e-05 3.7674945019e+01
-2.5523337572e-04 7.6159861419e-05 3.7685549574e+01
-1.6311991199e-04 1.0582988204e-04 3.4334798497e+01
-2.9055415827e-04 6.0894706372e-05 3.6293931671e+01
-1.7056874010e-04 1.0422493508e-04 3.4548620086e+01
3.2111761568e-04 1.0328132593e-04 1.2523108456e+01
3.4430916999e-04 8.0925859004e-05 1.2366461520e+01
-1.2504993833e-04 1.1284339711e-04 3.3338861835e+01
-3.1191317813e-04 5.2602450798e-05 1.8048328401e+01
-3.0629319416e-04 5.4147496271e-05 2.7549575757e+01
-3.0356264443e-04 5.5121183856e-05 3.0063625758e+01
-3.0087832733e-04 5.6148738187e-05 3.2006897026e+01
-2.3904856108e-04 8.3526231549e-05 3.6740367337e+01
-2.8553352829e-04 6.3524630753e-05 3.7289070672e+01
-2.8305191596e-04 6.4850521357e-05 3.7610610463e+01
-2.6192210613e-04 7.3888575540e-05 3.7881129445e+01
-2.9589171403e-04 5.8758782285e-05 3.5066551890e+01
-2.4628108284e-04 8.0539885997e-05 3.7433593913e+01
3.0766801893e-04 1.1548229750e-04 1.2539082039e+01
-3.1322668552e-04 4.1458561837e-05 1.7149429940e+01
-3.3074116266e-04 4.6541526599e-05 1.5363275968e+01
-3.2487216864e-04 4.8644972725e-05 1.6790566061e+01
5.0860653043e-05 1.3277470846e-04 5.9961135383e+01
3.8115790837e-04 1.2716835480e-05 8.4720856912e+00
2.0234998374e-04 4.1673565095e-05 1.7391788728e+01
-1.4885342535e-04 1.0837554736e-04 3.3955021148e+01
-1.8666217424e-04 9.9978844738e-05 3.5050017176e+01
-3.5698922120e-04 1.3540486384e-05 1.5415295726e+01
3.3570265342e-04 4.0503710026e-05 1.4232454392e+01
-1.1792607870e-04 1.1480966034e-04 3.3148811131e+01
-1.0566916321e-04 1.1624645823e-04 3.2883043008e+01
-1.0830884896e-04 1.1646451183e-04 3.2930139903e+01
5.4631425348e-05 1.3495057215e-04 6.5906860482e+01
9.0246822723e-05 1.4845891363e-04 1.9912413478e+01
-3.6504186985e-04 2.5351973035e-05 1.0989927519e+01
-3.5065853662e-04 3.5382062473e-05 1.2160461873e+01
-3.4470407995e-04 3.8816186584e-05 1.2782360355e+01
-3.7681805634e-04 1.2884374962e-05 1.0086282277e+01
-3.6779971943e-04 2.0819366348e-05 1.1141963910e+01
-1.8177005496e-04 1.0148407083e-04 3.4887607198e+01
3.8188424032e-04 3.1224469694e-05 1.1154573931e+01
-2.8806186704e-04 6.2254452254e-05 3.6895233768e+01
-2.6910858117e-04 6.8771811336e-05 3.7544037726e+01
-2.7103448645e-04 6.9830302355e-05 3.7913785335e+01
-2.7349795006e-04 6.8458774628e-05 3.7807500364e+01
-2.9163021589e-04 4.1371600481e-05 1.6816461376e+01
3.4158911460e-04 8.8498734622e-05 1.2201172404e+01
3.4849947843e-04 8.1896195612e-05 1.2112031878e+01
3.3497123815e-04 1.4628408560e-05 1.5512056862e+01
3.3168886047e-04 9.8072058669e-05 1.2276008862e+01
3.3474654231e-04 9.1330787468e-05 1.2416724838e+01
-9.0837927569e-05 1.1760071003e-04 3.2591081758e+01
3.1269301881e-04 6.7374152071e-05 1.4205440673e+01
2.8949209079e-04 6.7162217716e-05 1.4849907991e+01
2.0154689546e-04 1.2295229679e-04 1.4929698766e+01
2.2410534463e-04 1.5164224095e-04 1.3456947027e+01
-2.3460720997e-04 8.4302937194e-05 3.6536014502e+01
2.5416170717e-04 1.4431817604e-04 1.3018067900e+01
-2.0294498924e-04 1.3590670184e-05 4.6049053491e+01
9.0543747834e-05 6.8871594387e-05 2.2776023015e+01
-2.0011370502e-04 9.5163861919e-05 3.5528196280e+01
-1.9122600503e-04 9.7899120567e-05 3.5236522290e+01
-1.3473916378e-04 1.1151420966e-04 3.3567479787e+01
-1.3210052354e-04 1.1120486527e-04 3.3527055347e+01
-1.1184408185e-04 1.3363182131e-05 5.1013893879e+01
8.9138663490e-05 1.4328022707e-05 2.2976034821e+01
-2.2349290219e-04 6.8315545818e-05 3.7451604167e+01
4.4173788044e-05 4.1190181632e-05 2.5006752485e+01
-6.5881515578e-05 1.3356860992e-05 5.0893359691e+01
-4.4855946480e-05 1.4900917121e-05 4.9587176538e+01
4.4681747973e-05 1.3910616190e-05 3.2909548577e+01
-1.5603615900e-04 1.0705886124e-04 3.4146854769e+01
2.4718821471e-04 1.2056048563e-04 1.4153158176e+01
-2.2530146870e-04 1.3747498063e-05 4.2848034650e+01
-4.6136393851e-05 9.4985183811e-05 3.6014163029e+01
1.2995934516e-05 1.2854018492e-04 4.5632105700e+01
8.9644750747e-06 1.2772953822e-04 4.3649259347e+01
2.4311473689e-05 1.2884153917e-04 4.7537017001e+01
-2.3529398844e-05 9.5674370631e-05 3.6770068246e+01
-1.3328237496e-04 6.7402709171e-05 3.9101805372e+01
-7.0154303368e-07 1.2247465695e-04 3.7636989885e+01
-1.4047746294e-06 1.2680135717e-04 3.9128259536e+01
-3.8722825980e-06 1.2651694305e-04 3.8047207547e+01
-8.8381784731e-06 1.2599840293e-04 3.5985539530e+01
-2.1504165530e-05 1.2498924279e-04 3.2862587216e+01
-2.2515902192e-05 1.2273684065e-04 3.3109802404e+01
-1.4483636068e-04 1.1007516408e-04 3.3814093399e+01
-3.4169785483e-05 1.2425912763e-04 3.2004215042e+01
-4.5757788649e-05 1.2166789573e-04 3.2066826191e+01
-6.4030644182e-05 1.2151879891e-04 3.2123745018e+01
-1.9570640525e-04 9.6729623262e-05 3.5373648861e+01
1.1201700649e-04 9.4065419622e-05 2.2823770663e+01
2.2548798601e-04 4.1995087788e-05 1.7129782117e+01
6.5952789374e-05 4.0759784117e-05 2.2761660397e+01
-2.4658324932e-04 4.1772395507e-05 3.6423801725e+01
-8.4164088821e-05 1.1959735353e-04 3.2446946285e+01
-8.1458180299e-05 1.1956954970e-04 3.2401072711e+01
-1.2793417943e-04 1.1312983659e-04 3.3386469508e+01
1.5583275881e-04 6.7899925356e-05 1.7420055306e+01
6.9385140532e-07 6.8035811838e-05 3.6065068721e+01
-2.2749488199e-05 6.8789503092e-05 3.9212061116e+01
