x_m y_m von_mises_Pa wss_mag_dyn_cm2 is_surface
1.3682168973e-04 1.6834003631e-05 1.9219702668e+02 nan 0.0000000000e+00
1.1457233531e-04 1.6539676331e-05 1.9490748899e+02 nan 0.0000000000e+00
1.6096235265e-04 7.6958398970e-05 4.4637672029e+01 nan 0.0000000000e+00
-9.2444243305e-05 1.4643802880e-05 1.9982559989e+02 nan 0.0000000000e+00
-2.2772133610e-04 1.5220447776e-05 2.3008758609e+02 nan 0.0000000000e+00
-6.7375360251e-05 1.6129886278e-05 1.9357584335e+02 nan 0.0000000000e+00
9.0701089538e-05 1.4834189056e-05 1.9925083373e+02 nan 0.0000000000e+00
-4.4578366908e-05 1.6126979624e-05 1.9207988113e+02 nan 0.0000000000e+00
6.7895227608e-05 1.4744716442e-05 1.9803672638e+02 nan 0.0000000000e+00
4.5023106218e-05 1.4693085934e-05 1.9661509250e+02 nan 0.0000000000e+00
-2.1769876052e-05 1.6130332499e-05 1.9131265990e+02 nan 0.0000000000e+00
2.2117356865e-05 1.4662822085e-05 1.9549000697e+02 nan 0.0000000000e+00
1.0442022466e-06 1.6142085393e-05 1.9124513063e+02 nan 0.0000000000e+00
2.7509468108e-04 1.6789367890e-05 7.3795617078e+01 nan 0.0000000000e+00
-1.6025449561e-04 4.7397216882e-05 1.3084763281e+02 nan 0.0000000000e+00
-1.1372820615e-04 1.0832142026e-04 4.4630542587e+01 nan 0.0000000000e+00
1.1459077582e-04 4.6415058660e-05 1.1745748287e+02 nan 0.0000000000e+00
-1.6029159750e-04 7.7522723892e-05 7.6848837163e+01 nan 0.0000000000e+00
-9.2671269234e-05 1.0918340144e-04 4.4600456669e+01 nan 0.0000000000e+00
2.0473770575e-04 4.6775001063e-05 5.9659535485e+01 nan 0.0000000000e+00
6.8165396752e-05 1.0878800450e-04 2.8192851148e+01 nan 0.0000000000e+00
1.8390438357e-04 7.8553272093e-05 3.1945001245e+01 nan 0.0000000000e+00
-2.5250989414e-04 1.5831458856e-05 2.2999599185e+02 nan 0.0000000000e+00
3.4276882303e-04 4.7375205317e-05 4.2792733241e+01 nan 0.0000000000e+00
2.0494513010e-04 1.0820476863e-04 9.0467354584e+00 nan 0.0000000000e+00
-2.7573438419e-04 1.5449604212e-05 2.1733153299e+02 nan 0.0000000000e+00
2.5257308143e-04 7.6398405965e-05 1.5958114531e+01 nan 0.0000000000e+00
-2.7345984389e-04 4.7503329804e-05 1.0258955949e+02 nan 0.0000000000e+00
-1.3748291024e-04 4.6857734918e-05 1.3084170337e+02 nan 0.0000000000e+00
2.0717452195e-04 7.8313416766e-05 2.5513302670e+01 nan 0.0000000000e+00
2.2813668903e-04 1.0700292465e-04 1.8470793679e+01 nan 0.0000000000e+00
2.2029717468e-05 7.7730557382e-05 7.1832400847e+01 nan 0.0000000000e+00
9.1677808584e-05 7.6528811843e-05 6.7883950171e+01 nan 0.0000000000e+00
-2.2413764336e-05 1.0773803736e-04 4.2986289726e+01 nan 0.0000000000e+00
3.6637115078e-04 1.6636335409e-05 5.5339993833e+01 nan 0.0000000000e+00
-2.0495950899e-04 7.6703748399e-05 7.0833377453e+01 nan 0.0000000000e+00
-2.4052205046e-05 7.7378733928e-05 7.5589422036e+01 nan 0.0000000000e+00
6.9493220954e-05 4.6684684090e-05 1.2242006278e+02 nan 0.0000000000e+00
4.4807878553e-05 1.0935526679e-04 3.2176979983e+01 nan 0.0000000000e+00
-1.1451132985e-04 7.6927784114e-05 7.9663774714e+01 nan 0.0000000000e+00
-2.2342174169e-05 4.6048691955e-05 1.2558967692e+02 nan 0.0000000000e+00
1.8278193179e-04 4.6703907287e-05 7.2365791526e+01 nan 0.0000000000e+00
-1.3660042091e-04 1.0844474360e-04 4.2733732731e+01 2.8063134705e+01 1.0000000000e+00
-1.8193391312e-04 4.6400894602e-05 1.3344455173e+02 nan 0.0000000000e+00
-2.0617149137e-04 4.5903843434e-05 1.3349607783e+02 nan 0.0000000000e+00
