x_m,y_m,wss_mag_dyn_cm2,von_mises_Pa,wss_norm,mech_norm,Snai1_shear_only,Snai2_shear_only,EndMT_shear_only,NICD_shear_only,YAP_TAZ_shear_only,Snai1_mech_only,Snai2_mech_only,EndMT_mech_only,NICD_mech_only,YAP_TAZ_mech_only,Snai1_combined,Snai2_combined,EndMT_combined,NICD_combined,YAP_TAZ_combined
0.0003452340823138,0.0001410459665491,9.355075926013471,2.5946506505561744,0.31183586420044906,0.025946506505561743,0.24929949138849422,0.047970390068953414,0.331409657125644,0.17502579615390118,0.39024390243807267,0.00010314828775733434,0.07153094481779351,0.056705064636319476,0.22124640452247157,0.0026856526461746105,5.670390782277273e-05,0.04983314441619773,0.029227287256828046,0.1750257961539313,0.0026856526461746105
0.0003423370555906,0.000143891190165,9.634191977478942,2.5932364850168295,0.3211397325826314,0.025932364850168296,0.2494941148092377,0.04743653113774682,0.3310255724804793,0.17362334288695913,0.39024390243807267,0.00010302549618845596,0.07153094015156362,0.05670505776074936,0.22124640452247052,0.0026827337666811887,5.6625929816099435e-05,0.04927165040142826,0.028609837328355037,0.17362334288695913,0.0026827337666811887
0.0003393961435606,0.0001466930933156,9.906182282257532,2.592540341712466,0.3302060760752511,0.02592540341712466,0.24973134658565516,0.04709763684601539,0.3308926619449439,0.17260682483126316,0.39024390243807267,0.00010296512334842795,0.07153093786190833,0.056705054413541456,0.22124640452262712,0.0026812974845228745,5.661996894659742e-05,0.04890665486025397,0.0282113622370215,0.17260682483126316,0.002681297484522875
0.0003364127627562,0.0001494518648017,10.176500366109549,2.592471165007526,0.3392166788703183,0.02592471165007526,0.2500193611903379,0.04695434893556868,0.33101572715754873,0.17197044643884185,0.39024390243807267,0.00010295912706552476,0.07153093762638844,0.05670505402245593,0.22124640452256158,0.0026811547800530745,5.66799506248666e-05,0.04873808998187778,0.0280281099296326,0.17197044643884185,0.002681154780053075
0.0003333882867767,0.0001521677330558,10.4427650146556,2.59260459047706,0.3480921671551867,0.025926045904770597,0.2503595600659296,0.047019552341284354,0.3314079699546329,0.1717412111124808,0.39024390243807267,0.00010297069348850082,0.0715309380690143,0.056705054692424615,0.2212464045224716,0.0026814300265295896,5.676926996279063e-05,0.04877876538794409,0.028072284738264563,0.1717412111124807,0.0026814300265295896
0.0003303240374545,0.0001548408901711,10.701084846743823,2.593925116540288,0.3567028282247941,0.025939251165402882,0.2507482193972492,0.04729681726114723,0.3320700796555391,0.17192869563835217,0.39024390243807267,0.00010308526467634743,0.07153094242425963,0.05670506111698483,0.22124640452248198,0.0026841549258654904,5.6973394090221114e-05,0.04903216727848077,0.028348129542536505,0.17192869563835217,0.0026841549258654904
0.0003272212709996,0.0001574715857587,10.956327604280547,2.5958877794595994,0.3652109201426849,0.025958877794595995,0.251193032350034,0.04779588705617126,0.33302255183810503,0.17254104542955617,0.39024390243807267,0.00010325587112990943,0.07153094890578707,0.05670507065855133,0.22124640452247107,0.0026882074077579023,5.7247162105050096e-05,0.04950700441300026,0.028867991653965194,0.17254104542955617,0.0026882074077579023
0.0003240811939026,0.0001600600408051,11.20737936735604,2.5980602863457363,0.37357931224520136,0.025980602863457363,0.2516920226602393,0.04852120937602328,0.33427373162001106,0.1735825704812904,0.39024390243807267,0.00010344516274727216,0.07153095610798803,0.056705081307427414,0.22124640452133754,0.0026926967085974317,5.7552730911226367e-05,0.050207090469929494,0.02964147316254587,0.1735825704812904,0.0026926967085974317
0.0003209049954087,0.0001626065091834,11.454468318422798,2.601303415942171,0.38181561061409325,0.02601303415942171,0.25224299043495285,0.04947410696233123,0.3358310332247365,0.1750484486065295,0.39024390243807267,0.00010372862884384746,0.07153096687542455,0.05670509716567363,0.22124640452247538,0.0026994052726429757,5.796647836434055e-05,0.0511328605572545,0.030676984932053765,0.1750484486065295,0.0026994052726429757
0.0003176938274226,0.0001651112884343,11.937857550814178,2.6052069653088252,0.39792858502713924,0.02605206965308825,0.25347975477946627,0.05203679322301963,0.3398589065149814,0.17917132124692095,0.39024390243807267,0.00010407121468928866,0.07153097989385887,0.05670511635495889,0.22124640452247546,0.0027074909245563493,5.860017259845814e-05,0.05363166894177114,0.03354249134749999,0.17917132124692092,0.0027074909245563493
0.0003144487585367,0.0001675746229778,12.17416949661217,2.6101052242546907,0.4058056498870723,0.026101052242546906,0.25414737756756445,0.05361097167297769,0.3422970553310987,0.18174650874560425,0.39024390243807267,0.00010450327002627676,0.07153099631329321,0.05670514056923414,0.22124640452245745,0.002717653943387669,5.9196457984825134e-05,0.05516730565410321,0.03535307560197181,0.1817465087456043,0.002717653943387669
0.000311170824314,0.0001699967804667,12.406439077880115,2.6156897117425824,0.4135479692626705,0.026156897117425824,0.2548314732385548,0.055340441945969376,0.344972709115911,0.1845830218862814,0.39024390243807267,0.0001049988138456823,0.07153101513822653,0.05670516829624155,0.22124640452247132,0.00272926380074275,5.98641715230722e-05,0.05685300574226095,0.037382591343088925,0.1845830218862814,0.00272926380074275
0.0003078610422228,0.000172378037575,12.635964744598978,2.622437871074746,0.4211988248199659,0.026224378710747457,0.25552434130527535,0.057202493045770166,0.34786198413660413,0.1876337897816435,0.3902439024380727,0.00010560184044509813,0.07153103805654956,0.05670520212021342,0.22124640452247477,0.0027433256169957913,6.064740361257788e-05,0.05866543600010884,0.03961220041265017,0.18763378978164408,0.0027433256169957913
0.0003045203877253,0.0001747186892765,12.862149726909998,2.6300763978806065,0.42873832423033326,0.026300763978806065,0.2562137958137872,0.05916001832388744,0.35091655656551807,0.1908306558766429,0.39024390243807267,0.0001062900381437266,0.07153106420783875,0.056705240706268284,0.22124640452247554,0.0027592860177447338,6.152123839030464e-05,0.060567487798234544,0.042003175996527455,0.1908306558766429,0.0027592860177447338
0.0003011497916344,0.0001770190108138,13.085915197619531,2.63870811865335,0.4361971732539844,0.0263870811865335,0.2568939677065415,0.06119085033300168,0.3541087699286904,0.1941325362780464,0.39024390243807267,0.00010707492436953395,0.07153109403056178,0.05670528471222577,0.2212464045224789,0.002777376907818388,6.249688093452936e-05,0.06253686700166666,0.04453185436404626,0.1941325362780464,0.002777376907818388
0.0002977501391128,0.0001792792800672,13.307171450060393,2.6483070897408933,0.44357238166867974,0.026483070897408933,0.25755786676947345,0.06326806934161243,0.35740101065692637,0.19749294152552666,0.39024390243807267,0.00010795679960163654,0.07153112754082845,0.05670533419430212,0.2212464045224751,0.002797563856908494,6.35736690069947e-05,0.06454693147394605,0.04716616769985452,0.19749294152552666,0.002797563856908494
0.0002943222881899,0.0001814997754752,13.525768343100248,2.658896958574356,0.45085894477000826,0.02658896958574356,0.25820023135337505,0.06536817388418523,0.36075860193625636,0.20087294385190185,0.39024390243807267,0.00010894083049171527,0.07153116492923754,0.056705389409957466,0.2212464045224791,0.002819918785316592,6.475627622133041e-05,0.06657462161262344,0.049875843099804806,0.20087294385190183,0.002819918785316592
0.00029086708548,0.0001836807821147,13.742375380407283,2.6708456774037064,0.45807917934690945,0.026708456774037062,0.2588198133391469,0.06747977588894828,0.3641643035217635,0.2042545548439136,0.39024390243807267,0.00011006524765849747,0.07153120764473306,0.0567054524900105,0.22124640452284405,0.0028452481168947793,6.608477033793274e-05,0.06860878562603051,0.05264447317307154,0.2042545548439136,0.002845248116894779
0.0002873853382472,0.0001858225954546,13.95661049444513,2.6838036248795127,0.4652203498148377,0.026838036248795126,0.25941359311685636,0.06958507035192012,0.36758911954852125,0.20761044796946646,0.39024390243807267,0.00011130170343787294,0.07153125463175825,0.05670552200665874,0.2212464045224749,0.0028728437489931565,6.752953149052035e-05,0.07063224216857554,0.05544609053569797,0.2076104479694664,0.0028728437489931565
0.0002838778087007,0.000187925483375,14.16883067244601,2.698277683159957,0.47229435574820033,0.02698277683159957,0.2599816412892419,0.0716765615598485,0.3710196346071131,0.2109304027358898,0.39024390243807267,0.00011270403047194854,0.07153130791092042,0.05670560082561176,0.2212464045224748,0.0029038242300831593,6.914734662530773e-05,0.07263786618136568,0.05826745696933652,0.21093040273588984,0.0029038242300831593
0.000280345218618,0.0001899897151044,14.376250211140654,2.713776923161903,0.4792083403713551,0.027137769231619032,0.2605166792344696,0.07371840927584555,0.37439475949036943,0.21415973188270077,0.3902439024380729,0.00011423075061127617,0.07153136591429184,0.05670568668976841,0.22124640452247482,0.0029371816257437126,7.089341816577627e-05,0.07459151734529808,0.06105602089991344,0.2141597318827006,0.0029371816257437126
0.0002767882901878,0.0001920155605162,14.584654862590092,2.7306188313435302,0.4861551620863364,0.0273061883134353,0.2610338903126447,0.07576115118365054,0.37779590658092294,0.21738040445840393,0.39024390243807267,0.00011591945384643695,0.07153143007129996,0.05670578174255643,0.22124640452245234,0.002973642756567176,7.281177039812147e-05,0.0765417370335387,0.06387720942669374,0.2173804044584039,0.002973642756567176
