x_m,y_m,sigma_comp_mag_Pa
-1.8253721063e-04,1.0555470772e-04,3.4740398390e+01
-1.8517266153e-04,1.0486090146e-04,3.4820238795e+01
-1.8780570639e-04,1.0415560417e-04,3.4900824277e+01
-1.9043618370e-04,1.0343877368e-04,3.4981764954e+01
-1.9306394760e-04,1.0271034304e-04,3.5062978802e+01
-1.9568883586e-04,1.0197025143e-04,3.5145553994e+01
-1.9831066163e-04,1.0121845288e-04,3.5228314509e+01
-2.0092933447e-04,1.0045487097e-04,3.5311921159e+01
-2.0354466646e-04,9.9679477489e-05,3.5396146497e+01
-2.0615650504e-04,9.8892217111e-05,3.5479999078e+01
-2.0876470758e-04,9.8093037785e-05,3.5564327004e+01
-2.1136907311e-04,9.7281905296e-05,3.5647847668e+01
-2.1396951566e-04,9.6458783793e-05,3.5731214700e+01
-2.1656578137e-04,9.5623669167e-05,3.5812632509e+01
-2.1915775387e-04,9.4776513347e-05,3.5893168461e+01
-2.2174522876e-04,9.3917313660e-05,3.5971484473e+01
-2.2432800103e-04,9.3046076920e-05,3.6046915751e+01
-2.2690587976e-04,9.2162828009e-05,3.6117305138e+01
-2.2947862228e-04,9.1267578418e-05,3.6181530719e+01
-2.3204595482e-04,9.0360366647e-05,3.6235069814e+01
-2.3460753946e-04,8.9441237071e-05,3.6276560357e+01
-2.3716272074e-04,8.8510329330e-05,3.6300380625e+01
-2.3971061752e-04,8.7567554925e-05,3.6329770400e+01
-2.4224936245e-04,8.6612965990e-05,3.6486779169e+01
-2.4477724471e-04,8.5646401262e-05,3.6907334150e+01
-2.4729555897e-04,8.4668291960e-05,3.7412816494e+01
-2.4980789011e-04,8.3678159699e-05,3.7838271869e+01
-2.5231703521e-04,8.2675219063e-05,3.8113799584e+01
-2.5482413145e-04,8.1659258566e-05,3.8260046132e+01
-2.5732844393e-04,8.0630784887e-05,3.8350349111e+01
-2.5982901690e-04,7.9590151428e-05,3.8440439009e+01
-2.6232507654e-04,7.8537871454e-05,3.8536676111e+01
-2.6481639679e-04,7.7474346743e-05,3.8638129774e+01
-2.6730282251e-04,7.6400021070e-05,3.8743790738e+01
-2.6978425772e-04,7.5315443676e-05,3.8851107177e+01
-2.7226074877e-04,7.4221206062e-05,3.8956775779e+01
-2.7473243476e-04,7.3117961416e-05,3.9071466837e+01
-2.7719943980e-04,7.2006516974e-05,3.9178675195e+01
-2.7966228850e-04,7.0887732787e-05,3.9285916809e+01
-2.8212125901e-04,6.9762825292e-05,3.9383387896e+01
-2.8457702198e-04,6.8633085874e-05,3.9479891651e+01
-2.8703033417e-04,6.7500060526e-05,3.9568237363e+01
-2.8948219895e-04,6.6365655886e-05,3.9639352910e+01
-2.9193386780e-04,6.5232189709e-05,3.9694713829e+01
-2.9438698434e-04,6.4102463315e-05,3.9718015378e+01
-2.9684346154e-04,6.2979908205e-05,3.9710797800e+01
-2.9930572859e-04,6.1869009014e-05,3.9663897931e+01
-3.0177747393e-04,6.0775244620e-05,3.9495723562e+01
-3.0426204628e-04,5.9705968948e-05,3.9312111953e+01
-3.0676498760e-04,5.8671200775e-05,3.8969430407e+01
-3.0929262096e-04,5.7685290072e-05,3.8367309136e+01
-3.1185291417e-04,5.6770713079e-05,3.8035952743e+01
-3.1445718170e-04,5.5967242346e-05,3.7832416615e+01
-3.1711251303e-04,5.5398770359e-05,3.1442781916e+01
-3.2008984499e-04,5.5184420474e-05,1.6468817589e+01
-3.2502662691e-04,5.4452310256e-05,1.4173252600e+01
-3.3055479297e-04,5.2435928614e-05,1.1826474759e+01
-3.3598679826e-04,4.9844783280e-05,1.2351203496e+01
-3.4137612194e-04,4.6884661364e-05,1.1987440034e+01
-3.4675205667e-04,4.3617819348e-05,1.1717095468e+01
-3.5213581731e-04,4.0069566632e-05,1.1361053716e+01
-3.5754579242e-04,3.6246681222e-05,1.0972047910e+01
-3.6300260784e-04,3.2141200508e-05,1.0541714030e+01
-3.6852091748e-04,2.7736604239e-05,1.0108154532e+01
-3.7412591615e-04,2.3001806238e-05,9.6232691026e+00
-3.7985342142e-04,1.7894386800e-05,9.0702134346e+00
-3.8576530743e-04,1.2370653056e-05,8.7381758802e+00
-3.9208624652e-04,6.4026996584e-06,8.2736246424e+00
-3.9600000000e-04,3.0463089129e-20,-6.0408466784e-01
-3.9200000000e-04,3.0310008279e-20,-6.6243047076e-01
-3.8800000000e-04,3.0156927429e-20,-1.5261437948e+00
-3.8400000000e-04,3.0003846579e-20,2.7800676523e+00
-3.8000000000e-04,2.9850765729e-20,9.2603281282e+00
-3.7600000000e-04,2.9697684879e-20,1.6294594787e+01
-3.7200000000e-04,2.9544604029e-20,1.9787614634e+01
-3.6800000000e-04,2.9391523180e-20,2.1656277622e+01
-3.6400000000e-04,2.9238442330e-20,2.2935975019e+01
-3.6000000000e-04,2.9085361480e-20,2.3550238066e+01
-3.5600000000e-04,2.8932280630e-20,2.3373606492e+01
-3.5200000000e-04,2.8779199780e-20,2.2556910734e+01
-3.4800000000e-04,2.8626118930e-20,2.1561588377e+01
-3.4400000000e-04,2.8473038080e-20,2.0475303806e+01
-3.4000000000e-04,2.8319957230e-20,1.9164150482e+01
-3.3600000000e-04,2.8166876380e-20,1.7840980787e+01
-3.3200000000e-04,2.8013795530e-20,1.6976681904e+01
-3.2000000000e-04,2.7554552981e-20,1.7008358520e+01
-3.1600000000e-04,2.7401472131e-20,1.7023004797e+01
-2.8400000000e-04,2.6176825332e-20,1.8504156645e+01
-2.6400000000e-04,2.5411421082e-20,3.1391007996e+01
-2.6000000000e-04,2.5258340232e-20,3.3406658710e+01
-2.5600000000e-04,2.5105259383e-20,3.5229233180e+01
-2.4000000000e-04,2.4492935983e-20,4.0907120865e+01
-2.3600000000e-04,2.4339855133e-20,4.2000591980e+01
-2.3200000000e-04,2.4186774283e-20,4.2990885318e+01
-2.2800000000e-04,2.4033693433e-20,4.3889475613e+01
-2.1200000000e-04,2.3421370034e-20,4.6753189813e+01
-2.0800000000e-04,2.3268289184e-20,4.7324102395e+01
-2.0400000000e-04,2.3115208334e-20,4.7849047602e+01
-2.0000000000e-04,2.2962127484e-20,4.8332831771e+01
