x_m y_m sigma_comp_mag_Pa
-2.8212248782e-04 6.7908953690e-05 3.7078545269e+01
3.3431912557e-04 9.3842948248e-05 1.2389134140e+01
-3.6924353450e-04 2.3775883167e-05 1.0042191637e+01
3.8435933848e-04 4.3156462041e-06 4.0748693431e+00
-3.5050068257e-04 2.7033015357e-06 2.1228825673e+01
3.5273044218e-04 3.8762343275e-06 1.4459141993e+01
-3.3505544741e-04 2.1145582309e-06 1.9874842133e+01
3.3657836722e-04 3.4051823392e-06 1.6907730683e+01
3.1645699789e-04 3.1175054893e-06 1.7489826759e+01
2.3666804631e-04 2.1992082859e-06 2.2298225234e+01
1.8081525134e-04 1.6198740587e-06 2.2609872247e+01
-1.5356978744e-04 1.4555353485e-06 5.2166406520e+01
1.0905462264e-04 1.5290493675e-06 2.2956579125e+01
-7.7903872256e-05 1.4531527749e-06 5.2474231517e+01
-4.6033613396e-05 1.4599503487e-06 4.9531204158e+01
2.5621513769e-05 1.4966592891e-06 3.4608105916e+01
6.1390295877e-05 1.5161598458e-06 2.7204045470e+01
-6.2089702530e-06 1.4776076010e-06 4.2233886584e+01
2.0060122641e-05 1.3767378712e-04 6.8395561254e+01
4.5533099275e-05 1.5186292862e-04 1.9642294873e+01
5.9788055301e-05 1.5509075769e-04 1.9016473520e+01
-1.0892884827e-04 1.1868803958e-04 3.3107280558e+01
9.3939403421e-05 1.5932944075e-04 1.8262356952e+01
1.0873471076e-04 1.5986033012e-04 1.8098404285e+01
1.2375260022e-04 1.5955324550e-04 1.7999551243e+01
1.6814135200e-04 1.5599131728e-04 1.8147018706e+01
2.1224415991e-04 1.5010536548e-04 1.7011950739e+01
-2.5230977309e-04 8.0886115836e-05 3.6671657675e+01
2.6762496178e-04 1.3647481280e-04 1.3099854525e+01
2.9561873250e-04 1.2231336944e-04 1.2771133562e+01
3.7542050781e-04 4.4559179216e-05 1.1557181585e+01
3.9057446230e-04 1.2620936057e-05 9.2522726840e+00
-3.8157912314e-04 1.3190695897e-05 8.7225353446e+00
-3.8934915496e-04 4.2597247033e-06 9.4191765982e-01
3.9210693689e-04 4.1768285548e-06 2.2932165905e+00
-3.8570714460e-04 4.2296187727e-06 3.3295459207e+00
-3.7945107055e-04 8.3345264085e-06 9.3358799524e+00
-3.7590006023e-04 7.9703379459e-06 1.1332138389e+01
-3.6982488432e-04 1.1554966163e-05 1.2792927517e+01
-3.6720531288e-04 1.5603900863e-05 1.2266830247e+01
-3.6378482284e-04 1.4862297617e-05 1.3601434764e+01
-3.6118822248e-04 1.8807300927e-05 1.3134285455e+01
-3.5779044424e-04 1.7915884701e-05 1.4135041626e+01
-3.5183569375e-04 2.0741136697e-05 1.6038654649e+01
-3.4932342509e-04 2.4477268308e-05 1.5957333449e+01
-3.4359363429e-04 2.6952009886e-05 1.7387969675e+01
-3.4053933403e-04 2.5683832069e-05 1.7252659733e+01
-3.3532910743e-04 2.7809431059e-05 1.7570641718e+01
-3.3749710062e-04 2.4477558834e-05 1.7469805420e+01
-3.3043539226e-04 2.9725673854e-05 1.7706987979e+01
-3.2961115861e-04 2.5347718690e-05 1.7575672463e+01
-3.2330872277e-04 3.0134496332e-05 1.7316661111e+01
-3.1661552337e-04 3.0527917920e-05 1.7722126156e+01
-3.1404828361e-04 2.9413188965e-05 1.7670835130e+01
-3.0776326711e-04 2.9940350619e-05 1.7220027145e+01
-3.0425538498e-04 3.1456643703e-05 1.7355704779e+01
-2.9920645770e-04 2.9663499739e-05 1.7317060814e+01
-2.9592746094e-04 3.1192382989e-05 1.7049114849e+01
-2.9523531562e-04 3.3529145091e-05 1.7484778057e+01
-2.9080884940e-04 2.9684644226e-05 1.7641444405e+01
-2.8770059480e-04 3.1233068169e-05 1.7408074327e+01
-2.8164407977e-04 3.4348367054e-05 2.3147066862e+01
-2.7672421575e-04 3.1056507693e-05 2.5358553973e+01
-2.7338066070e-04 3.4819883910e-05 2.7972004287e+01
-2.6790799416e-04 3.3880511031e-05 3.0236804306e+01
-2.6492990632e-04 3.5545201463e-05 3.1565599356e+01
-2.5926846235e-04 3.4773809681e-05 3.3367216141e+01
-2.5637091316e-04 3.4435666829e-05 3.4209524589e+01
-2.5051322872e-04 3.5820327834e-05 3.5712214182e+01
-2.4754363074e-04 3.5538101245e-05 3.6387274482e+01
-2.4149478241e-04 3.5040203099e-05 3.7641099044e+01
-2.3885832565e-04 3.8691415095e-05 3.7833852254e+01
-2.2389159621e-04 3.9544459757e-05 3.9779547089e+01
-2.2077786596e-04 3.9365346005e-05 4.0151086426e+01
-2.1447777102e-04 3.9043296188e-05 4.0847021034e+01
