x_m,y_m,sigma_xx_Pa,sigma_xy_Pa,sigma_yy_Pa,von_mises_Pa,sigma_max_principal_Pa,sigma_min_principal_Pa,sigma_tension_Pa,sigma_comp_mag_Pa,is_surface,wss_mag_dyn_cm2,wss_x_dyn_cm2,wss_y_dyn_cm2,pressure_Pa,normal_x,normal_y
3.2123444432e-04,1.0937401093e-04,-5.3793653229e+00,-7.6379529843e+00,-3.9922009789e+00,1.3281953471e+01,2.9825562608e+00,-1.2354122563e+01,2.9825561803e+00,1.2354122563e+01,1.0000000000e+00,1.8779280223e+01,1.5487265962e+01,-1.0621014957e+01,1.4292469184e+01,5.6557092875e-01,8.2469965718e-01
3.1763010543e-04,1.1202131551e-04,-5.2366251148e+00,-7.5440540340e+00,-4.4343084259e+00,1.3083565719e+01,2.7183334196e+00,-1.2389266960e+01,2.7183335804e+00,1.2389266960e+01,1.0000000000e+00,1.9199311522e+01,1.6034062773e+01,-1.0560416369e+01,1.4362662708e+01,5.5004140940e-01,8.3513738268e-01
3.1397998475e-04,1.1459408637e-04,-5.0899460651e+00,-7.4523886063e+00,-4.8555697687e+00,1.2908140290e+01,2.4797603543e+00,-1.2425276188e+01,2.4797603613e+00,1.2425276188e+01,1.0000000000e+00,1.9606360165e+01,1.6566281830e+01,-1.0486546871e+01,1.4432970462e+01,5.3485434230e-01,8.4494427776e-01
3.1028545315e-04,1.1709266348e-04,-4.9405053389e+00,-7.3622061578e+00,-5.2575273517e+00,1.2753532210e+01,2.2642389095e+00,-1.2462271600e+01,2.2642379939e+00,1.2462271600e+01,1.0000000000e+00,1.9992765708e+01,1.7081404881e+01,-1.0389239045e+01,1.4504617430e+01,5.1964991720e-01,8.5437928554e-01
3.0654787075e-04,1.1951729844e-04,-4.7865527678e+00,-7.2759660339e+00,-5.6393158892e+00,1.2622852251e+01,2.0748728164e+00,-1.2500741473e+01,2.0748751315e+00,1.2500741473e+01,1.0000000000e+00,2.0353598283e+01,1.7570716713e+01,-1.0273211633e+01,1.4577185071e+01,5.0473687700e-01,8.6327323890e-01
3.0276851557e-04,1.2186814911e-04,-4.6313459341e+00,-7.1912013886e+00,-6.0051425678e+00,1.2511209552e+01,1.9051059515e+00,-1.2541594453e+01,1.9050916985e+00,1.2541594453e+01,1.0000000000e+00,2.0699836644e+01,1.8039945898e+01,-1.0151038816e+01,1.4649742305e+01,4.9039221860e-01,8.7150184850e-01
2.9894861419e-04,1.2414532729e-04,-4.4688594016e+00,-7.1079051947e+00,-6.3552830215e+00,1.2418167616e+01,1.7575612044e+00,-1.2581703627e+01,1.7575671338e+00,1.2581703627e+01,1.0000000000e+00,2.1033632523e+01,1.8498320608e+01,-1.0011285223e+01,1.4722752513e+01,4.7596558570e-01,8.7946390559e-01
2.9508935134e-04,1.2634879768e-04,-4.3041010661e+00,-7.0260706573e+00,-6.6921708097e+00,1.2342978801e+01,1.6280861954e+00,-1.2624358071e+01,1.6281420703e+00,1.2624358071e+01,1.0000000000e+00,2.1348506557e+01,1.8937130060e+01,-9.8561573290e+00,1.4796911568e+01,4.6167900798e-01,8.8704706391e-01
2.9119183657e-04,1.2847844579e-04,-4.1333771074e+00,-6.9469478148e+00,-7.0152953428e+00,1.2287584866e+01,1.5199042049e+00,-1.2668576655e+01,1.5198616647e+00,1.2668576655e+01,1.0000000000e+00,2.1642814128e+01,1.9354875624e+01,-9.6850499724e+00,1.4872376656e+01,4.4749494753e-01,8.9428645966e-01
2.8725707748e-04,1.3053402301e-04,-3.9553984489e+00,-6.8684529322e+00,-7.3246719856e+00,1.2248095170e+01,1.4314058261e+00,-1.2711476261e+01,1.4318461760e+00,1.2711476261e+01,1.0000000000e+00,2.1918532007e+01,1.9751304693e+01,-9.5030525759e+00,1.4949246643e+01,4.3356245633e-01,9.0112351898e-01
2.8328594193e-04,1.3251498812e-04,-3.7698096075e+00,-6.7934954285e+00,-7.6235159117e+00,1.2229779319e+01,1.3642036223e+00,-1.2757529142e+01,1.3653217831e+00,1.2757529142e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
2.7927921968e-04,1.3442060122e-04,-3.5788823310e+00,-6.7209861623e+00,-7.9108536094e+00,1.2229522989e+01,1.3158504198e+00,-1.2805586360e+01,1.3182149362e+00,1.2805586360e+01,1.0000000000e+00,2.2630869445e+01,2.0814503199e+01,-8.8832825246e+00,1.5179597173e+01,3.9252944065e-01,9.1973944040e-01
